y_true	y_pred	pred_confidence
Registros e Bases	Canos e Conexões Hidráulicas	0.09176180086458964
Água Fria	Canos e Conexões Hidráulicas	0.032551969021707726
Tomadas, interruptores e plugues	Sanitário	0.16445328518247768
Quadros e Caixas Elétricas	Outros Elétricos	0.1537906861632452
Cabos e Fios Elétricos	Canos e Conexões Hidráulicas	0.056154332818645035
Canos e Conexões Hidráulicas	Água Fria	0.22069210240144793
Água Fria	Registros e Bases	0.16598089090330181
Luminárias	Transformadores de Energia	0.3636673713440366
Água Fria	Canos e Conexões Hidráulicas	0.23097672594696878
Disjuntores e Fusíveis	Proteções Elétricas	0.17360533944596318
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.724955975145115
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.07853724098801114
Subestações e Alta Tensão	Acessórios e Conexões Elétricas	0.043185619163867164
Acessórios Hidráulicos	Tomadas, interruptores e plugues	0.06230737230335042
Acessórios Hidráulicos	Outros - Materiais Hidráulicos	0.1911075723320356
Outros - Materiais Elétricos	Cabos e Fios Elétricos	0.022449457068514946
Cabos e Fios Elétricos	Cabos Elétricos	0.04045829464945336
Acessórios e Conexões Elétricas	Sanitário	0.487872399320586
Canos e Conexões Hidráulicas	Água Fria	0.1958983581157188
Infraestrutura	Eletrocalhas	0.09168464147064795
Tomadas, interruptores e plugues	Acessórios e Conexões Elétricas	0.4600949007820231
Acessórios Hidráulicos	Canos e Conexões Hidráulicas	0.20534805545543702
Acessórios e Conexões Elétricas	Tomadas, interruptores e plugues	0.10433203894120047
Cabos e Fios Elétricos	Cabos Elétricos	0.09739580167593659
Canos e Conexões Hidráulicas	Sanitário	0.6980368193562887
Canos e Conexões Hidráulicas	Sanitário	0.058989388713941014
Outros	Canos e Conexões Hidráulicas	0.07594881243727528
Quadros e Caixas Elétricas	Água Fria	0.033522297312306625
Ralos e Grelhas	Quadros e Caixas Elétricas	0.09464493102095389
Cabos e Fios Elétricos	Cabos Elétricos	0.572399493898588
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.23188056316942557
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.14137758540594308
Cabos e Fios Elétricos	Cabos Elétricos	0.48130161210674977
Cabos e Fios Elétricos	Cabos Elétricos	0.5013160817164399
Canos e Conexões Hidráulicas	Sanitário	0.041899281759838376
Outros - Materiais Elétricos	Tomadas, interruptores e plugues	0.06749757693676368
Tomadas e Interruptores Específicos	Tomadas, interruptores e plugues	0.18285806974558427
Cabos e Fios Elétricos	Sanitário	0.12023570646698034
Infraestrutura	Tubos e Eletrodutos	0.12644597458205858
Proteções Elétricas	Tubos e Eletrodutos	0.06974429010373681
Fontes de Energia	Transformadores de Energia	0.12398226849253738
Proteções Elétricas	Para Raios e SPDA	0.0866462715951199
Quadros e Caixas Elétricas	Acessórios e Conexões Elétricas	0.035708257232686
Água Fria	Plugs e Adaptadores	0.06064027012180113
Canos e Conexões Hidráulicas	Tubos e Eletrodutos	0.18696321418597417
Para Raios e SPDA	Acessórios e Conexões Elétricas	0.07346408833914181
Dutos e conexões PEAD	Canos e Conexões Hidráulicas	0.06527714654474313
Canos e Conexões Hidráulicas	Tubos e Eletrodutos	0.0961980661894164
Cabos e Fios Elétricos	Cabos Elétricos	0.0721390733965254
Tomadas, interruptores e plugues	Ralos e Grelhas	0.7056405900856122
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.34315197810339243
Cabos e Fios Elétricos	Cabos Elétricos	0.11213319016300138
Acessórios e Conexões Elétricas	Cabos Elétricos	0.028534195527046502
Outros - Materiais Elétricos	Tubos e Eletrodutos	0.036038446727598976
Água Fria	Canos e Conexões Hidráulicas	0.2940259925780999
Quadros e Caixas Elétricas	Tomadas, interruptores e plugues	0.0668030041664683
Canos e Conexões Hidráulicas	Água Fria	0.17446156697896403
Para Raios e SPDA	Tomadas, interruptores e plugues	0.04684136850335053
Quadros e Caixas Elétricas	Tubos e Eletrodutos	0.17652909097679195
Acessórios e Conexões Elétricas	Tomadas, interruptores e plugues	0.10489925562588416
Cabos e Fios Elétricos	Sanitário	0.12654605901832247
Outros - Materiais Hidráulicos	Tubos e Eletrodutos	0.7494046333384256
Tomadas, interruptores e plugues	Luminárias	0.02956528341298886
Disjuntores e Fusíveis	Outros - Materiais Elétricos	0.042142475687304115
Acessórios e Conexões Elétricas	Para Raios e SPDA	0.024154296246359803
Cabos e Fios Elétricos	Tomadas, interruptores e plugues	0.07435160050443308
