Prod_Desc_norm,ocorrencias,exemplos,subcats
luminaria led,10,['Luminária LED'],['Luminárias']
eletroduto,9,"['ELETRODUTO', 'Eletroduto']",['Tubos e Eletrodutos']
areia grossa,8,"['AREIA GROSSA', 'Areia Grossa', 'Areia grossa']","['Areia, Pedra Brita, Gesso, Cal e Argila']"
porcelanato 61 1 x 61 1 cm,7,"['Porcelanato 61,1 x 61,1 cm']",['Pisos Cerâmicos']
eletroduto rigido trecho reto material construtivo em aco carbono com galvanizacao a fogo conforme norma abnt nbr 5597 extremidades com rosca conica npt conforme norma asme b1 20 1 com rebarbas removidas com uma luva em uma das extremidade e protecao na,7,"['ELETRODUTO RÍGIDO TRECHO RETO MATERIAL CONSTRUTIVO EM AÇO CARBONO COM GALVANIZAÇÃO A FOGO CONFORME NORMA ABNT NBR 5597 EXTREMIDADES COM ROSCA CÔNICA NPT, CONFORME NORMA ASME B1.20.1, COM REBARBAS REMOVIDAS COM UMA LUVA EM UMA DAS EXTREMIDADE E PROTEÇÃO NA']",['Tubos e Eletrodutos']
alicate amperimetro digital cat ii 600v,6,"['ALICATE AMPERÍMETRO DIGITAL CAT II 600V', 'Alicate amperímetro digital CAT II 600V']",['Ferramentas Manuais']
tinta acrilica premio semibrilho gelo 18l,6,"['Tinta acrílica prêmio Semibrilho gelo 18l', 'tinta acrílica prêmio Semibrilho gelo 18l']",['Verniz e Solvente']
eletroduto rigido,6,"['ELETRODUTO RÍGIDO', 'Eletroduto rígido']",['Tubos e Eletrodutos']
vergalhao 10 ca 50,6,['vergalhão 10 CA-50'],"['Tomadas, interruptores e plugues']"
porcelanato branco acetinado 60x60,6,['Porcelanato branco acetinado 60x60'],['Porcelanatos']
cabo flexivel 2 5mm rolo c 100mts,6,"['Cabo flexível 2,5mm Rolo c/ 100Mts']",['Cabos Elétricos']
paver retangular 8cm 10x20,6,"['Paver retangular 8cm 10x20', 'paver retangular 8cm 10x20']",['Blocos de Concreto']
colher de pedreiro,6,"['COLHER DE PEDREIRO', 'Colher de pedreiro']",['Ferramentas para Construção']
poste duplo t com caixa incorporada,6,['Poste duplo T com caixa incorporada'],['Poste de Concreto']
tijolos 6 furos,6,['Tijolos 6 furos'],['Tijolos e Blocos Estruturais']
tinta acrilica fosca azul petroleo 18l,6,['Tinta acrílica fosca azul petróleo 18l'],['Verniz e Solvente']
eletroduto rigido em aco carbono galvanizado a fogo com costura e extremidades rosca npt com luva vara com 3m,5,"['Eletroduto rígido em aço carbono galvanizado a fogo com costura e extremidades rosca NPT com luva, vara com 3m']",['Tubos e Eletrodutos']
anel de borracha dn50mm para linha de pvc rigido branco serie normal conforme nbr 5688,5,"['Anel de Borracha, DN50mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Anéis de Vedação', 'Sanitário']"
camiseta unisex manga curta cor cinza claro,5,['CAMISETA UNISEX MANGA CURTA COR CINZA CLARO'],['EPI: Equipamentos Proteção Individual']
joelho 90 dn25mm pvc marrom soldavel conforme nbr 5648,5,"['Joelho 90°, DN25mm, PVC Marrom Soldável, conforme NBR 5648']","['Cabos e Fios Elétricos', 'Água Fria']"
joelho 90 dn32mm pvc marrom soldavel conforme nbr 5648,5,"['Joelho 90°, DN32mm, PVC Marrom Soldável, conforme NBR 5648']","['Cabos e Fios Elétricos', 'Água Fria']"
cabo flexivel 4mm2,5,"['CABO FLEXÍVEL 4MM²', 'Cabo flexível 4mm²']",['Cabos Elétricos']
cabo flexivel 2 5mm2,5,"['CABO FLEXÍVEL 2,5MM²', 'Cabo flexível 2,5mm²']",['Cabos Elétricos']
caixa de gordura em pvc dn100mm capacidade 18 litros conforme nbr 8160,5,"['Caixa de Gordura, em PVC, DN100mm, capacidade 18 litros, conforme NBR 8160']","['Sanitário', 'Tomadas, interruptores e plugues']"
caixa de inspecao em pvc dn100mm conforme nbr 8160,5,"['Caixa de Inspeçao em PVC, DN100mm, conforme NBR 8160']","['Sanitário', 'Tomadas, interruptores e plugues']"
camiseta unisex manga longa,5,['Camiseta Unisex Manga Longa'],['EPI: Equipamentos Proteção Individual']
luva simples dn100mm de pvc rigido branco serie normal conforme nbr 5688,5,"['Luva Simples, DN100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues']"
calca masculina brim,5,['CALÇA MASCULINA  BRIM'],['EPI: Equipamentos Proteção Individual']
cabo flexivel 6mm2,5,"['CABO FLEXÍVEL 6MM²', 'Cabo flexível 6mm²']",['Cabos Elétricos']
telha de fibrocimento ondulada,5,['TELHA DE FIBROCIMENTO ONDULADA'],['Telhas']
sapato de seguranca feminino,5,['SAPATO DE SEGURANÇA FEMININO'],['EPI: Equipamentos Proteção Individual']
registro esfera vs soldavel dn25mm,5,['Registro Esfera VS Soldável DN25mm'],['Registros e Bases']
refletor led,5,['Refletor LED'],['Refletores']
anel de borracha dn100mm para linha de pvc rigido branco serie normal conforme nbr 5688,5,"['Anel de Borracha, DN100mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues', 'Vasos Sanitários']"
desengripante lubrificante spray 300ml,5,"['DESENGRIPANTE LUBRIFICANTE SPRAY 300ML', 'Desengripante lubrificante Spray 300Ml']",['Verniz e Solvente']
adaptador para saida de vaso sanitario dn100mm de pvc rigido branco serie normal conforme nbr 5688,5,"['Adaptador para Saída de Vaso Sanitário, DN100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues', 'Vasos Sanitários']"
tubo perfurado esp 1 4pol x furos 3 8pol x passo 14mm diam ext 1007mm comp 1200mm a 36,5,['TUBO PERFURADO ESP. 1/4POL X FUROS 3/8POL X PASSO 14MM DIAM. EXT. 1007MM COMP. 1200MM A-36'],['Chapas INOX']
curva de transposicao soldavel dn25mm pvc marrom soldavel conforme nbr 5648,4,"['Curva de Transposição Soldável, DN25mm, PVC Marrom Soldável, conforme NBR 5648']","['Canos e Conexões Hidráulicas', 'Água Fria']"
curva vertical externa 90 para eletrocalha chapa de aco carbono galvanizada largura 300 mm e altura da aba 100 mm,4,"['Curva Vertical Externa 90°, para eletrocalha, chapa de aço carbono galvanizada, largura 300 mm e altura da aba 100 mm']","['Calhas, Rufos e Algerosas', 'Tomadas, interruptores e plugues']"
anel de borracha dn75mm para linha de pvc rigido branco serie normal conforme nbr 5688,4,"['Anel de Borracha, DN75mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Anéis de Vedação', 'Sanitário']"
anel de borracha dn150mm para linha de pvc rigido branco serie normal conforme nbr 5688,4,"['Anel de Borracha, DN150mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Anéis de Vedação', 'Sanitário']"
eletroduto rigido em liga de aluminio 3 4pol,4,['Eletroduto rígido em liga de alumínio 3/4pol'],['Tubos e Eletrodutos']
tesoura,4,['TESOURA'],['Ferramentas Manuais']
tubo corrugado pead parede dupla interna lisa jei dn di 600 mm para saneamento drenagem esgoto,4,"['TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 600 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO)', 'TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 600 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO).']","['Canos e Conexões Hidráulicas', 'Dutos e conexões PEAD', 'Sanitário']"
tubo coletor de esgoto pvc jei dn 400 mm nbr 7362,4,"['TUBO COLETOR DE ESGOTO PVC, JEI, DN 400 MM (NBR 7362)']",['Sanitário']
conector terminal generico 6a 16mm p disjuntor frontal,4,"['CONECTOR TERMINAL GENERICO 6A 16MM P/ DISJUNTOR FRONTAL', 'CONECTOR TERMINAL GENÉRICO 6A 16MM P/DISJUNTOR FRONTAL', 'Conector terminal genérico 6A 16mm p/disjuntor frontal']",['Proteções Elétricas']
joelho 45 dn50mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
condulete multiplo tipo x,4,['Condulete Multiplo Tipo X'],['Acessórios e Conexões Elétricas']
condicionador de ar split hiwall inverter,4,['Condicionador de ar SPLIT HIWALL INVERTER'],['Ar Condicionado']
joelho 45 dn40mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN40mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 45 dn150mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 45 dn100mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues']"
gabiao tipo caixa em malha hexagonal de dupla torcao tipo 8x10 com arame de aco btc diametro de 2 4 mm recoberto com pvc com espessura minima de 0 40 mm bord em contato direto e constante com agua,4,"['GABIAO TIPO CAIXA EM MALHA HEXAGONAL DE DUPLA TORCAO, TIPO 8X10  COM ARAME DE ACO BTC, DIAMETRO DE 2,4 MM RECOBERTO COM PVC COM ESPESSURA MINIMA DE 0,40 MM, BORD - EM CONTATO DIRETO E CONSTANTE COM AGUA']",['Aços para Construção']
fita isolante de autofusao,4,"['Fita Isolante de Autofusão', 'Fita isolante de autofusão']",['Acessórios e Conexões Elétricas']
cimento portland cp ii 32,4,['Cimento Portland CP II 32'],['Cimentos']
joelho 90 dn25mm ppr termofusao,4,"['Joelho 90° DN25mm PPR Termofusão', 'Joelho 90°, DN25mm, PPR Termofusão']",['Canos e Conexões Hidráulicas']
