y_true	y_pred	pred_confidence
Anéis de Vedação	Sanitário	0.06717495649968105
Plugs e Adaptadores	Condutos	0.0052422330581648
Ferramentas para Construção	Poste Metálico	0.007147504914131598
Blocos de Concreto	Poste de Concreto	0.006718801768182521
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.023620840130236766
Assentos Sanitários	Porcelanatos	0.015194029594922638
EPI: Equipamentos Proteção Individual	Lona, Papelão e Plástico Bolha	0.006661647601877846
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.009940892477956476
Lona, Papelão e Plástico Bolha	Aduela de Concreto	0.005856237687546297
Porcelanatos	Pisos Cerâmicos	0.0117515777157045
Tomadas, interruptores e plugues	Areia, Pedra Brita, Gesso, Cal e Argila	0.07295222514094986
Barras e tubos INOX	Cabos e Fios Elétricos	0.005131886588367518
EPI: Equipamentos Proteção Individual	Construção Civil	0.1251349182399574
Caixas de Esgoto	Sanitário	0.005369571490127161
Canos e Conexões Hidráulicas	Sanitário	0.08773106026548663
Impermeabilizantes	Acessórios para Banheiro	0.0043793931822034195
Tubos e conexões para Gases Medicinais	Sanitário	0.01981459901246065
Aduela de Concreto	Artefatos de Concreto	0.014984337916064669
Parafusos e acessórios	Ferragens para Fixar e Montar	0.010154382242060491
Automação Industrial	Proteções Elétricas	0.00589273045899959
Proteções Elétricas	Acessórios para Banheiro	0.004429688865615787
Quadros e Caixas Elétricas	Tomadas, interruptores e plugues	0.005850488142777285
Construção Civil	Abajures	0.0029757422890454794
Construção Civil	Ferragens para Fixar e Montar	0.005137084922142166
Armazenamento, Captação e Tratamento de Água	Lixeiras de Calçada	0.004448430828895639
Sanitário	Tomadas, interruptores e plugues	0.028917337723667027
Cabos Elétricos	Ferramentas Manuais	0.010890060340915319
Disjuntores e Fusíveis	Proteções Elétricas	0.03904260931680309
Outros - Materiais de Construção	Poste Metálico	0.0053142912169741405
Acessórios para Pisos e Revestimentos	Tomadas, interruptores e plugues	0.00427954538382969
Produtos para Área de Serviço	Pias e Lavatórios	0.008297742671409135
Tijolos e Blocos Estruturais	Blocos Cerâmicos	0.013876470381303442
Acessórios Hidráulicos	Transformadores de Energia	0.0042989659498303195
Adesivos e Colas	Canos e Conexões Hidráulicas	0.011157910370214592
Outros	Canos e Conexões Hidráulicas	0.023043750540904007
Insumos metálicos	Perfis e chapas em aço carbono	0.01219886036928371
Cabos e Fios Elétricos	Proteções Elétricas	0.006246224762672793
Plataformas de acessibilidade	Transporte Vertical	0.005218846986932005
Ferragens para Fixar e Montar	Cabos Elétricos	0.029285061874326227
EPI: Equipamentos Proteção Individual	Cabos e Fios Elétricos	0.006321114497829786
Acessórios para Banheiro	Gesso e Drywall	0.009187624087935923
Cimentos	Cimento Asfáltico de Petróleo - CAP	0.023591147585960738
Infraestrutura	Abajures	0.0029673590504451044
Água Fria	Tubos e conexões industriais	0.010237828979025188
