label	precision	recall	f1_score	support
Abajures	0.0	0.0	0.0	0.0
Acessibilidade	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Acessibilidade e Segurança	0.0	0.0	0.0	1.0
Acessórios Hidráulicos	0.5	0.14285714285714285	0.2222222222222222	7.0
Acessórios de Portas e Janelas	0.6981132075471698	0.8604651162790697	0.7708333333333334	43.0
Acessórios e Conexões Elétricas	0.8490566037735849	0.8823529411764706	0.8653846153846154	51.0
Acessórios e Consumíveis para Ferramentas	0.6206896551724138	0.8181818181818182	0.7058823529411765	22.0
Acessórios para Banheiro	0.6153846153846154	0.7272727272727273	0.6666666666666666	11.0
Acessórios para Pisos e Revestimentos	0.3333333333333333	0.5	0.4	2.0
Acessórios para telhado	0.0	0.0	0.0	4.0
Adesivos e Colas	0.6666666666666666	0.6666666666666666	0.6666666666666666	12.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	0.7397260273972602	0.7714285714285715	0.7552447552447552	70.0
Alarmes e Sensores de Presença	1.0	0.5	0.6666666666666666	2.0
Anéis de Vedação	0.5	0.25	0.3333333333333333	4.0
Apoio e Administrativo	0.3333333333333333	1.0	0.5	1.0
Aquecedores de Água	1.0	0.3333333333333333	0.5	3.0
Ar Condicionado	0.6585365853658537	0.8709677419354839	0.75	31.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.6842105263157895	0.8666666666666667	0.7647058823529411	30.0
Argamassas	0.6	0.8181818181818182	0.6923076923076923	11.0
Armazenamento, Captação e Tratamento de Água	0.5333333333333333	0.7272727272727273	0.6153846153846154	11.0
Artefatos de Concreto	0.6933333333333334	0.6666666666666666	0.6797385620915033	78.0
Assentos Sanitários	0.7	0.7777777777777778	0.7368421052631579	9.0
Automação Industrial	0.8235294117647058	0.6666666666666666	0.7368421052631579	21.0
Automação Residencial	0.0	0.0	0.0	1.0
Aços para Construção	0.7037037037037037	0.7916666666666666	0.7450980392156863	24.0
Banheiro Comercial	1.0	1.0	1.0	1.0
Barras e tubos INOX	0.75	0.5	0.6	6.0
Barras, Tubos e Chapas Metalon	0.7222222222222222	0.6190476190476191	0.6666666666666666	21.0
Barreiras de Proteção	0.6875	0.9166666666666666	0.7857142857142857	12.0
Batentes e Guarnições	0.0	0.0	0.0	1.0
Baterias	0.8571428571428571	1.0	0.9230769230769231	6.0
Blocos Cerâmicos	1.0	1.0	1.0	5.0
Blocos de Concreto	0.7307692307692307	0.95	0.8260869565217391	20.0
Blocos de Vidro	0.0	0.0	0.0	1.0
CBUQ	1.0	1.0	1.0	1.0
Cabos Blindados	1.0	1.0	1.0	1.0
Cabos Elétricos	0.7349397590361446	0.9312977099236641	0.8215488215488216	131.0
Cabos e Fios Elétricos	0.7142857142857143	0.46875	0.5660377358490566	64.0
Cadeiras	0.0	0.0	0.0	1.0
Caixas de Esgoto	0.3333333333333333	0.2	0.25	5.0
Calhas, Rufos e Algerosas	0.5	0.7272727272727273	0.5925925925925926	11.0
Caminhões Espargidores	0.0	0.0	0.0	0.0
Canos de Concreto	0.8333333333333334	0.625	0.7142857142857143	8.0
Canos e Conexões Hidráulicas	0.7142857142857143	0.9216589861751152	0.8048289738430584	217.0
Carenagem hidraulica	0.0	0.0	0.0	1.0
Carrinhos de Carga e Rodas	1.0	1.0	1.0	1.0
Casa em Steel-Frame	1.0	1.0	1.0	1.0
Casas pré-fabricadas	0.0	0.0	0.0	1.0
Cercados e Segurança	0.782608695652174	0.782608695652174	0.782608695652174	23.0
Chapa em alumínio	0.75	0.6	0.6666666666666666	5.0
Chapas INOX	0.0	0.0	0.0	3.0
Chapas e Painéis	0.7272727272727273	0.9411764705882353	0.8205128205128205	17.0
Chuveiros	1.0	1.0	1.0	1.0
Cimento Asfáltico de Petróleo - CAP	0.3333333333333333	0.5	0.4	2.0
Cimentos	0.8	0.8	0.8	25.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	1.0	1.0	3.0
Climatizadores de Ar	1.0	1.0	1.0	1.0
Combate a Incêndio	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.0
Compressor de Ar	0.0	0.0	0.0	2.0
Compressores	0.0	0.0	0.0	1.0
Concreto	0.5	0.16666666666666666	0.25	6.0
Condutos	0.9	0.8181818181818182	0.8571428571428571	11.0
Conectores	1.0	0.8333333333333334	0.9090909090909091	6.0
Conexões	0.0	0.0	0.0	2.0
Construção Civil	0.6	0.6923076923076923	0.6428571428571429	26.0
Conteineres	1.0	0.6	0.75	5.0
Controlador de Carga	0.5	1.0	0.6666666666666666	2.0
Controladores de FP	1.0	1.0	1.0	1.0
Corantes	0.0	0.0	0.0	1.0
Cubas para Banheiro	1.0	1.0	1.0	1.0
Câmeras de Segurança e CFTV	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Disjuntores e Fusíveis	0.0	0.0	0.0	6.0
Dispensers	1.0	1.0	1.0	1.0
Divisórias em Granilite	0.0	0.0	0.0	1.0
Dutos e Grades de Ventilação	0.0	0.0	0.0	0.0
Dutos e conexões PEAD	0.0	0.0	0.0	2.0
EPC: Equipamentos de Proteção Coletiva	0.0	0.0	0.0	1.0
EPI: Equipamentos Proteção Individual	0.696969696969697	0.7666666666666667	0.7301587301587301	60.0
Eletricista	1.0	1.0	1.0	1.0
Eletrocalhas	0.625	0.6666666666666666	0.6451612903225806	15.0
Eletrodomésticos	0.0	0.0	0.0	2.0
Eletrodomésticos para Cozinha	0.0	0.0	0.0	1.0
Eletroportáteis de Áudio e Vídeo	0.0	0.0	0.0	0.0
Eletros para Cozinha	0.0	0.0	0.0	1.0
Elevador Cremalheira	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Equipamentos	0.7142857142857143	1.0	0.8333333333333334	5.0
Equipamentos Elétricos	0.2	0.2	0.2	5.0
Equipamentos de laboratório	0.0	0.0	0.0	1.0
Equipamentos para Construção	0.625	0.8333333333333334	0.7142857142857143	6.0
Equipamentos para Gases Medicinais	0.5	0.6666666666666666	0.5714285714285714	3.0
Equipamentos para Piscina	0.0	0.0	0.0	1.0
