model	alpha	cv_f1_macro_mean	cv_f1_macro_std	test_accuracy	test_f1_macro
ComplementNB	0.25	0.46087368574262627	0.023348141589249145	0.7178259645170375	0.5021266498725884
ComplementNB	0.1	0.46066497131715095	0.023745133420138752	0.7209236834694452	0.507485265713668
ComplementNB	0.05	0.4561296002753295	0.024867574786347144	0.7212052942833005	0.5162691316825262
ComplementNB	0.5	0.4552773556733568	0.02213206676055574	0.7158546888200507	0.4898599912466773
ComplementNB	1.0	0.45078447701396956	0.02187583746373945	0.7113489157983667	0.47886034705304065
ComplementNB	2.0	0.43741103810616566	0.02324248680072818	0.7037454238242749	0.46761885666008773
ComplementNB	5.0	0.4088876016089862	0.02281050716115491	0.6879752182483807	0.44209922685570463
MultinomialNB	0.05	0.37964345088363816	0.025900147739297472	0.7178259645170375	0.4123655703218604
MultinomialNB	0.1	0.2943514145244729	0.015352048464182585	0.6958603210363278	0.34891301924046364
MultinomialNB	0.25	0.16826516846678288	0.007523953442831065	0.6302450014080541	0.21184671077183875
MultinomialNB	0.5	0.09653195441052474	0.0038257041986755834	0.5466065896930442	0.12013946532301875
MultinomialNB	1.0	0.058326441375098424	0.002324805143892726	0.4742326105322444	0.07655579017480944
MultinomialNB	2.0	0.030112308521575128	0.001049151702411225	0.3922838637003661	0.040286891882350635
MultinomialNB	5.0	0.01090498743144622	0.0004045336483817939	0.3089270627992115	0.013300425600196454
