ID_Sub,Sub_Name,count
105,Estrados,2
218,Acessórios para Torneiras e Misturadores,2
263,Suportes para Eletro,2
111,Ganchos e Cabideiros,2
62,Vasos Sanitários,2
108,Ferragens para Janelas,2
216,Sifão para Pia,2
68,Desumidificadores de Ambientes,2
98,Acessórios para Móveis,2
422,Suportes,2
407,Vigas e perfis metálicos,2
153,Madeiras para Telhado,2
366,Perfis de alumínio,2
375,Abrigos para extintores,2
377,Alarme de incêndio convencional,2
338,Piso Podotátil,2
339,Geradores de Energia,2
170,Conduítes,2
41,Outros Arquitetura,2
199,Resistências Elétricas,2
237,Batentes e Guarnições,2
251,Campainhas,2
285,Outros - Cozinhas e Áreas de Serviço,2
296,Outros - Segurança e Comunicação,2
32,Madeiras,2
332,Baterias,2
411,Bomba de Êmbolo,2
388,Sprinklers,2
140,Lustres e Pendentes,2
146,Barreiras de Proteção,2
421,Canaletas e acessórios,2
93,Eletroportáteis de Áudio e Vídeo,2
463,Monitor,2
331,Outros - Fotovoltaicos,1
276,Proteção para Pintura,1
323,Maquinário,1
316,Sacos de Lixo,1
31,Componentes,1
307,Seguros,1
186,Toldos e Coberturas,1
284,Outros - Climatização e Ventilação,1
281,Tintas Spray,1
215,Acabamentos para Registro,1
83,Móveis de Cozinha,1
70,Dutos e Grades de Ventilação,1
80,Escadas e Banquetas Domésticas,1
109,Ferragens para Móveis,1
101,Cavaletes,1
112,Letras e Números Residenciais,1
114,Perfil para Bricolagem,1
221,Misturadores para Bidê,1
275,Produtos para Metais e Ferros,1
274,Produtos para Madeira,1
198,Reatores e Soquetes,1
233,Rodapés,1
225,Pedras Naturais e Mosaicos,1
249,Cadeados,1
257,Iluminação de Segurança,1
420,Selantes,1
410,Peças de reposição,1
154,Pallets,1
155,Pisos de Madeira,1
406,Correias e correntes,1
144,Spots,1
393,Controlador de Demanda,1
389,Suporte para extintores,1
360,"Análises, medições e termografia",1
356,Instalações Elétricas Baixa tensão,1
351,Caminhões Espargidores,1
35,Instalações Provisórias,1
349,Frasadores e Recicladoras de Asfalto,1
367,Roldanas,1
168,Churrasqueiras,1
173,Escadas Profissionais,1
458,Casa Container,1
459,Casa em Steel-Frame,1
455,Bomba Submersa,1
442,Caixas para Hidrômetros,1
441,Controle de Vibração,1
428,Test Subcategory,1
465,Equipamentos para Academia,1
468,Parafuso tipo U,1
473,Guindastes,1
133,Arandelas,1
132,Abajures,1
466,Minerais,1
59,Nichos para Banheiro,1
53,Duchas Higiênicas,1
52,Duchas,1
91,Eletroportáteis,1
