label	precision	recall	f1_score	support
Acabamentos para Registro	0.0	0.0	0.0	1.0
Acessórios Hidráulicos	1.0	0.375	0.5454545454545454	8.0
Acessórios e Conexões Elétricas	0.8615384615384616	0.8235294117647058	0.8421052631578947	68.0
Anéis de Vedação	0.6	0.375	0.46153846153846156	8.0
Aquecedores de Água	1.0	1.0	1.0	1.0
Baterias	0.8333333333333334	1.0	0.9090909090909091	5.0
Cabos Elétricos	0.8553459119496856	0.9927007299270073	0.918918918918919	137.0
Cabos e Fios Elétricos	0.8888888888888888	0.5633802816901409	0.6896551724137931	71.0
Caixas de Esgoto	1.0	0.6	0.75	5.0
Caixas para Hidrômetros	0.0	0.0	0.0	1.0
Canos e Conexões Hidráulicas	0.876010781671159	0.9447674418604651	0.9090909090909091	344.0
Carenagem hidraulica	1.0	1.0	1.0	1.0
Condutos	0.9166666666666666	0.9166666666666666	0.9166666666666666	12.0
Disjuntores e Fusíveis	0.0	0.0	0.0	6.0
Dutos e conexões PEAD	1.0	0.16666666666666666	0.2857142857142857	6.0
Eletricista	0.0	0.0	0.0	1.0
Eletrocalhas	0.875	0.8235294117647058	0.8484848484848485	17.0
Equipamentos	1.0	1.0	1.0	6.0
Estabilizadores	0.75	1.0	0.8571428571428571	3.0
Fontes de Energia	1.0	0.8461538461538461	0.9166666666666666	13.0
Infraestrutura	0.7083333333333334	0.7727272727272727	0.7391304347826086	22.0
Luminárias	0.0	0.0	0.0	2.0
Medição e instrumentação	1.0	0.75	0.8571428571428571	4.0
Nobreaks	1.0	1.0	1.0	4.0
Outros	0.0	0.0	0.0	1.0
Outros - Materiais Elétricos	0.9473684210526315	0.6666666666666666	0.782608695652174	27.0
Outros - Materiais Hidráulicos	0.8235294117647058	0.6086956521739131	0.7	23.0
Outros Elétricos	0.0	0.0	0.0	2.0
Para Raios e SPDA	0.8378378378378378	0.8378378378378378	0.8378378378378378	37.0
Plugs e Adaptadores	0.75	0.6	0.6666666666666666	5.0
Pressurizadores de Água	1.0	1.0	1.0	4.0
Proteções Elétricas	0.8785046728971962	0.9494949494949495	0.912621359223301	99.0
Quadros e Caixas Elétricas	0.86	0.8269230769230769	0.8431372549019608	52.0
Ralos e Grelhas	0.5555555555555556	0.8333333333333334	0.6666666666666666	6.0
Registros e Bases	0.8620689655172413	0.8620689655172413	0.8620689655172413	29.0
Resistências Elétricas	1.0	1.0	1.0	1.0
Sanitário	0.8686131386861314	0.952	0.9083969465648855	125.0
Sifão para Pia	1.0	1.0	1.0	2.0
Sistemas	0.8571428571428571	1.0	0.9230769230769231	6.0
Subestações e Alta Tensão	0.6666666666666666	0.6666666666666666	0.6666666666666666	9.0
Tomadas e Interruptores Específicos	0.0	0.0	0.0	1.0
Tomadas, interruptores e plugues	0.8813559322033898	0.8432432432432433	0.861878453038674	185.0
Torneiras	0.8823529411764706	1.0	0.9375	15.0
Transformadores de Energia	0.8717948717948718	1.0	0.9315068493150684	34.0
Tubos e Eletrodutos	0.8705882352941177	0.891566265060241	0.8809523809523809	166.0
Tubulação Defofo	1.0	1.0	1.0	1.0
Válvulas para Pia	1.0	1.0	1.0	1.0
Água Fria	0.8108108108108109	0.6976744186046512	0.75	43.0
Água Quente	0.7777777777777778	1.0	0.875	7.0
macro avg	0.7381037851746897	0.6976794449947611	0.703130376782585	1627.0
weighted avg	0.8602765016471624	0.8641671788567916	0.8562717544235261	1627.0
