model	alpha	cv_f1_macro_mean	cv_f1_macro_std	test_accuracy	test_f1_macro
ComplementNB	0.1	0.6704667186314259	0.025628790528230007	0.8641671788567916	0.703130376782585
ComplementNB	0.25	0.6640860946937944	0.02012668239347377	0.8623232944068838	0.7043180129341118
ComplementNB	0.05	0.6635686302841288	0.03232238724640845	0.8660110633066994	0.7076074879232683
ComplementNB	0.5	0.6578160534526666	0.016273587550093255	0.8574062692071297	0.6940593522678844
ComplementNB	1.0	0.6472699986585151	0.015596633031256765	0.8518746158574063	0.6784789426071863
MultinomialNB	0.05	0.6337208837309961	0.013966574837317667	0.8617086662569146	0.6567875381863696
ComplementNB	2.0	0.6231223628931288	0.019530673290110198	0.8291333743085433	0.6368566234810493
MultinomialNB	0.1	0.5913439117391401	0.024320112549548197	0.8518746158574063	0.6195640336110406
ComplementNB	5.0	0.5767025227341732	0.015502455066269866	0.7990165949600492	0.5865032904393528
MultinomialNB	0.25	0.4817051338485028	0.015665281799283306	0.819299323909035	0.48678706390382537
MultinomialNB	0.5	0.35326405417875884	0.01309623580731894	0.7676705593116164	0.37396348427336157
MultinomialNB	1.0	0.22987891755945883	0.003555443058683825	0.7092808850645359	0.24392642004688664
MultinomialNB	2.0	0.15589408242676292	0.002809796602306086	0.647818070067609	0.17408098521845594
MultinomialNB	5.0	0.10615607692684301	0.004006556458517592	0.5322679778733866	0.1093834116725946
