label	precision	recall	f1_score	support
Abajures	0.0	0.0	0.0	0.0
Acessibilidade	1.0	0.6666666666666666	0.8	3.0
Acessibilidade e Segurança	0.0	0.0	0.0	1.0
Acessórios Hidráulicos	1.0	0.42857142857142855	0.6	7.0
Acessórios de Portas e Janelas	0.64	0.7441860465116279	0.6881720430107527	43.0
Acessórios e Conexões Elétricas	0.8627450980392157	0.8627450980392157	0.8627450980392157	51.0
Acessórios e Consumíveis para Ferramentas	0.7037037037037037	0.8636363636363636	0.7755102040816326	22.0
Acessórios para Banheiro	0.6666666666666666	0.7272727272727273	0.6956521739130435	11.0
Acessórios para Pisos e Revestimentos	1.0	0.5	0.6666666666666666	2.0
Acessórios para telhado	0.0	0.0	0.0	4.0
Adesivos e Colas	0.7692307692307693	0.8333333333333334	0.8	12.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	0.7432432432432432	0.7857142857142857	0.7638888888888888	70.0
Alarmes e Sensores de Presença	1.0	0.5	0.6666666666666666	2.0
Anéis de Vedação	1.0	0.25	0.4	4.0
Apoio e Administrativo	1.0	1.0	1.0	1.0
Aquecedores de Água	1.0	0.6666666666666666	0.8	3.0
Ar Condicionado	0.8	1.0	0.8888888888888888	32.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.8484848484848485	0.9032258064516129	0.875	31.0
Argamassas	0.8181818181818182	0.8181818181818182	0.8181818181818182	11.0
Armazenamento, Captação e Tratamento de Água	0.6428571428571429	0.8181818181818182	0.72	11.0
Artefatos de Concreto	0.704225352112676	0.6410256410256411	0.6711409395973155	78.0
Assentos Sanitários	0.7272727272727273	0.8888888888888888	0.8	9.0
Automação Industrial	0.8333333333333334	0.7142857142857143	0.7692307692307693	21.0
Automação Residencial	0.0	0.0	0.0	1.0
Aços para Construção	0.7037037037037037	0.7916666666666666	0.7450980392156863	24.0
Banheiro Comercial	1.0	1.0	1.0	1.0
Barras e tubos INOX	0.5	0.5	0.5	6.0
Barras, Tubos e Chapas Metalon	0.7222222222222222	0.6190476190476191	0.6666666666666666	21.0
Barreiras de Proteção	0.6875	0.9166666666666666	0.7857142857142857	12.0
Baterias	0.75	1.0	0.8571428571428571	6.0
Blocos Cerâmicos	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos de Concreto	0.6896551724137931	1.0	0.8163265306122449	20.0
Blocos de Vidro	0.0	0.0	0.0	1.0
CBUQ	0.3333333333333333	1.0	0.5	1.0
Cabos Blindados	1.0	1.0	1.0	1.0
Cabos Elétricos	0.7650602409638554	0.9694656488549618	0.8552188552188552	131.0
Cabos e Fios Elétricos	0.8333333333333334	0.46875	0.6	64.0
Cadeiras	0.0	0.0	0.0	1.0
Caixas de Correio	0.0	0.0	0.0	0.0
Caixas de Esgoto	0.3333333333333333	0.2	0.25	5.0
Calhas, Rufos e Algerosas	0.7272727272727273	0.7272727272727273	0.7272727272727273	11.0
Canos de Concreto	0.875	1.0	0.9333333333333333	7.0
Canos e Conexões Hidráulicas	0.7649253731343284	0.9447004608294931	0.845360824742268	217.0
Carenagem hidraulica	0.0	0.0	0.0	1.0
Carrinhos de Carga e Rodas	1.0	1.0	1.0	1.0
Casa em Steel-Frame	1.0	1.0	1.0	1.0
Casas pré-fabricadas	0.0	0.0	0.0	1.0
Cercados e Segurança	0.782608695652174	0.782608695652174	0.782608695652174	23.0
Chapa em alumínio	1.0	0.6	0.75	5.0
Chapas INOX	0.0	0.0	0.0	3.0
Chapas e Painéis	0.9411764705882353	0.9411764705882353	0.9411764705882353	17.0
Chuveiros	1.0	1.0	1.0	1.0
Cimento Asfáltico de Petróleo - CAP	0.3333333333333333	0.5	0.4	2.0
Cimentos	0.88	0.88	0.88	25.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	1.0	1.0	3.0
Climatizadores de Ar	1.0	1.0	1.0	1.0
Combate a Incêndio	0.5	0.3333333333333333	0.4	3.0
Compressor de Ar	0.0	0.0	0.0	2.0
Compressores	0.0	0.0	0.0	1.0
Concreto	0.5	0.16666666666666666	0.25	6.0
Condutos	0.75	0.8181818181818182	0.782608695652174	11.0
Conectores	0.75	1.0	0.8571428571428571	6.0
Conexões	1.0	1.0	1.0	2.0
Construção Civil	0.6896551724137931	0.7692307692307693	0.7272727272727273	26.0
Conteineres	1.0	0.6	0.75	5.0
Controlador de Carga	0.6666666666666666	1.0	0.8	2.0
Controladores de FP	1.0	1.0	1.0	1.0
Corantes	0.0	0.0	0.0	1.0
Cubas para Banheiro	0.5	1.0	0.6666666666666666	1.0
Câmeras de Segurança e CFTV	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Disjuntores e Fusíveis	0.0	0.0	0.0	6.0
Dispensers	1.0	1.0	1.0	1.0
Divisórias em Granilite	0.0	0.0	0.0	1.0
Dutos e conexões PEAD	0.0	0.0	0.0	2.0
EPC: Equipamentos de Proteção Coletiva	0.0	0.0	0.0	1.0
EPI: Equipamentos Proteção Individual	0.7647058823529411	0.8666666666666667	0.8125	60.0
Eletricista	1.0	1.0	1.0	1.0
Eletrocalhas	0.7142857142857143	0.6666666666666666	0.6896551724137931	15.0
Eletrodomésticos	0.0	0.0	0.0	2.0
Eletrodomésticos para Cozinha	0.0	0.0	0.0	1.0
Eletros para Cozinha	0.0	0.0	0.0	1.0
Elevador Cremalheira	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Equipamentos	0.7142857142857143	1.0	0.8333333333333334	5.0
Equipamentos Elétricos	0.0	0.0	0.0	5.0
Equipamentos de laboratório	0.0	0.0	0.0	1.0
Equipamentos para Construção	0.7142857142857143	0.8333333333333334	0.7692307692307693	6.0
Equipamentos para Gases Medicinais	0.5	0.6666666666666666	0.5714285714285714	3.0
Equipamentos para Piscina	0.0	0.0	0.0	1.0
Escadas Móveis	1.0	1.0	1.0	3.0
Esportes e Lazer	0.5	1.0	0.6666666666666666	2.0
Espuma Expansiva	1.0	1.0	1.0	2.0
Estabilizadores	1.0	1.0	1.0	1.0
Exaustores	0.6666666666666666	1.0	0.8	2.0
Fechaduras e Travas	1.0	1.0	1.0	6.0
Ferragens	0.8	1.0	0.8888888888888888	4.0
Ferragens para Fixar e Montar	0.75	0.7258064516129032	0.7377049180327869	62.0
Ferragens para Porta	0.0	0.0	0.0	1.0
Ferramentas   para Pintura	1.0	0.6	0.75	5.0
Ferramentas Elétricas/Bateria	0.6666666666666666	0.8571428571428571	0.75	7.0
Ferramentas Manuais	0.8085106382978723	0.6785714285714286	0.7378640776699029	56.0
Ferramentas de Medição	1.0	0.5714285714285714	0.7272727272727273	7.0
Ferramentas para Construção	0.8181818181818182	0.6	0.6923076923076923	15.0
Ferramentas para Jardim	0.88	0.9565217391304348	0.9166666666666666	23.0
Ferramentas para Solda	0.0	0.0	0.0	1.0
Ferramentas por Profissão	1.0	1.0	1.0	2.0
Fibra de Vidro	0.0	0.0	0.0	1.0
Filtros, Purificadores e Bebedouros	1.0	1.0	1.0	2.0
Fitas	1.0	0.7142857142857143	0.8333333333333334	7.0
Fontes de Energia	0.8666666666666667	1.0	0.9285714285714286	13.0
Formas	0.9333333333333333	0.6666666666666666	0.7777777777777778	21.0
Forros	0.8333333333333334	1.0	0.9090909090909091	5.0
Gases refrigerantes	0.0	0.0	0.0	1.0
Gesso e Drywall	0.7272727272727273	0.8	0.7619047619047619	10.0
Iluminação Pública	0.0	0.0	0.0	1.0
Impermeabilizantes	0.75	0.75	0.75	4.0
Informática	0.0	0.0	0.0	1.0
Infraestrutura	0.9	0.6	0.72	15.0
Insumos metálicos	0.6	0.25	0.35294117647058826	12.0
Inversores	0.0	0.0	0.0	1.0
Isolamento	1.0	0.5	0.6666666666666666	4.0
Janelas e Venezianas	0.0	0.0	0.0	1.0
Kits para Banheiro	0.5	0.5	0.5	2.0
Lixeiras	0.0	0.0	0.0	1.0
Lixeiras de Calçada	0.0	0.0	0.0	2.0
Lona, Papelão e Plástico Bolha	0.5	0.25	0.3333333333333333	4.0
Luminárias	0.813953488372093	0.813953488372093	0.813953488372093	43.0
Lâmpadas	0.8571428571428571	0.9836065573770492	0.916030534351145	61.0
Madeiras	0.0	0.0	0.0	0.0
Madeiras para Construção	0.75	1.0	0.8571428571428571	9.0
Manta e Produtos Asfálticos	0.0	0.0	0.0	4.0
Marmores e Granitos	1.0	0.5	0.6666666666666666	2.0
Massa Acrílica	1.0	0.5	0.6666666666666666	2.0
Massa Corrida e Niveladora	0.75	0.6	0.6666666666666666	5.0
Materiais para Obras	0.0	0.0	0.0	1.0
Medidores de Energia	0.5	1.0	0.6666666666666666	1.0
Medição e instrumentação	1.0	0.6666666666666666	0.8	3.0
Máquinas Elétricas	0.0	0.0	0.0	1.0
Móveis	0.0	0.0	0.0	1.0
Nobreaks	1.0	1.0	1.0	4.0
Notebooks	0.0	0.0	0.0	2.0
Organização e Transporte de Ferramentas	1.0	0.5	0.6666666666666666	2.0
Outros	1.0	0.1	0.18181818181818182	10.0
Outros - Banheiros	0.0	0.0	0.0	1.0
Outros - Cozinhas e Áreas de Serviço	0.0	0.0	0.0	0.0
Outros - Eletros	0.0	0.0	0.0	1.0
Outros - Ferragens	0.6842105263157895	0.4482758620689655	0.5416666666666666	29.0
Outros - Ferramentas	0.0	0.0	0.0	2.0
Outros - Iluminação	0.0	0.0	0.0	4.0
Outros - Madeiras	0.0	0.0	0.0	3.0
Outros - Materiais Elétricos	0.7142857142857143	0.5	0.5882352941176471	10.0
Outros - Materiais Hidráulicos	0.5	0.3076923076923077	0.38095238095238093	13.0
Outros - Materiais de Construção	0.2857142857142857	0.13333333333333333	0.18181818181818182	15.0
Outros - Pavimentação	0.0	0.0	0.0	2.0
Outros - Pisos e Revestimentos	1.0	0.75	0.8571428571428571	4.0
Outros - Tintas e Acessórios	0.0	0.0	0.0	2.0
Outros Elétricos	0.0	0.0	0.0	2.0
Painéis Fotovoltaicos	0.0	0.0	0.0	1.0
Para Raios e SPDA	0.6333333333333333	0.76	0.6909090909090909	25.0
Parafusos e acessórios	0.7419354838709677	0.7931034482758621	0.7666666666666667	29.0
Pavimentaço	0.5	1.0	0.6666666666666666	2.0
Perfis e chapas em aço carbono	0.6	0.72	0.6545454545454545	25.0
Perfis para Steel Frame	0.5	0.3333333333333333	0.4	3.0
Pias e Bancadas em Mármore	0.0	0.0	0.0	1.0
Pias e Cubas de Cozinha	1.0	0.5	0.6666666666666666	2.0
Pias e Lavatórios	0.8	1.0	0.8888888888888888	4.0
Pincéis, Rolos e Acessórios	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Piso Elevado	0.75	1.0	0.8571428571428571	3.0
Pisos	0.0	0.0	0.0	1.0
Pisos Cerâmicos	0.7142857142857143	1.0	0.8333333333333334	5.0
Pisos Laminados	1.0	1.0	1.0	2.0
Pisos Vinílicos	0.0	0.0	0.0	1.0
Pisos de Borracha	1.0	1.0	1.0	1.0
Pisos de concreto	1.0	1.0	1.0	1.0
Placa de obra	1.0	0.5	0.6666666666666666	2.0
Placas de sinalização de segurança	1.0	1.0	1.0	1.0
Placas e forros minerais	0.0	0.0	0.0	1.0
Plataformas de acessibilidade	0.0	0.0	0.0	1.0
Plugs e Adaptadores	1.0	0.4	0.5714285714285714	5.0
Polias e rolamentos	1.0	1.0	1.0	1.0
Porcelanatos	0.6	0.6	0.6	5.0
Portas corta fogo	0.25	1.0	0.4	1.0
Portas e esquadrias	0.8888888888888888	0.7272727272727273	0.8	11.0
Portões	0.0	0.0	0.0	1.0
Poste Metálico	0.72	0.9473684210526315	0.8181818181818182	19.0
Poste de Concreto	0.6857142857142857	0.9411764705882353	0.7933884297520661	51.0
Poste de fibra de vidro	1.0	1.0	1.0	1.0
Poste de madeira	1.0	0.3333333333333333	0.5	3.0
Postes de Jardim	0.0	0.0	0.0	1.0
Pressurizadores de Água	1.0	1.0	1.0	2.0
Produtos para Aplicação e Acabamento	1.0	1.0	1.0	1.0
Produtos para Limpeza	0.8	0.4	0.5333333333333333	10.0
