y_true	y_pred	pred_confidence
Ferramentas Manuais	Tomadas, interruptores e plugues	0.059007936507936516
Anéis de Vedação	Sanitário	0.9729166666666667
Plugs e Adaptadores	Canos e Conexões Hidráulicas	0.2613888888888889
Ferramentas para Construção	Produtos para Limpeza	0.09738562091503268
Ferramentas para Jardim	Ferramentas Manuais	0.28708333333333336
Forros	Tomadas, interruptores e plugues	0.06299603174603174
Assentos Sanitários	Porcelanatos	0.2492559523809524
EPI: Equipamentos Proteção Individual	Tela, cerca e gabião em aço	0.07041666666666666
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.6215277777777778
Madeiras para Construção	Tomadas, interruptores e plugues	0.05555555555555556
Lona, Papelão e Plástico Bolha	Acessórios de Portas e Janelas	0.034027777777777775
Canos de Concreto	EPI: Equipamentos Proteção Individual	0.06736111111111112
Porcelanatos	Plugs e Adaptadores	0.059166666666666666
Ferramentas Manuais	Construção Civil	0.12069444444444445
Barras e tubos INOX	Ferragens para Fixar e Montar	0.09837301587301586
Plugs e Adaptadores	Outros - Ferragens	0.07055555555555555
Caixas de Esgoto	Quadros e Caixas Elétricas	0.10555555555555554
Canos e Conexões Hidráulicas	Sanitário	0.8494675925925924
Impermeabilizantes	Acessórios para Banheiro	0.2136111111111111
Aduela de Concreto	Artefatos de Concreto	0.622559523809524
Quadros e Caixas Elétricas	Tomadas, interruptores e plugues	0.1367857142857143
Água Quente	Aços para Construção	0.08652777777777779
Construção Civil	Outros	0.09517391174478443
Construção Civil	Barras, Tubos e Chapas Metalon	0.17611772486772487
Pressurizadores de Água	Tomadas, interruptores e plugues	0.08472222222222221
Armazenamento, Captação e Tratamento de Água	Construção Civil	0.10291666666666667
Sanitário	Tomadas, interruptores e plugues	0.5431472462722461
Construção Civil	Serviços Mecânicos	0.3695634920634921
Madeiras para Construção	Canos e Conexões Hidráulicas	0.0875
Chapas e Painéis	Pisos Cerâmicos	0.05875
Disjuntores e Fusíveis	Proteções Elétricas	0.6244841269841269
Outros - Materiais de Construção	Ferramentas Manuais	0.06763888888888889
Acessórios para Pisos e Revestimentos	Tomadas, interruptores e plugues	0.05555555555555556
Produtos para Área de Serviço	Pias e Lavatórios	0.10950396825396826
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.3052777777777778
Ferramentas Manuais	Outros - Materiais Elétricos	0.1732996632996633
Apoio e Administrativo	Construção Civil	0.765575396825397
Acessórios Hidráulicos	Outros - Materiais Hidráulicos	0.051666666666666666
Adesivos e Colas	Canos e Conexões Hidráulicas	0.4072222222222222
Outros	Canos e Conexões Hidráulicas	0.5245833333333334
Insumos metálicos	Tomadas, interruptores e plugues	0.09902777777777778
maquinas pesadas	Tomadas, interruptores e plugues	0.3100992063492063
Plataformas de acessibilidade	Ferramentas Manuais	0.07694444444444445
Ferragens para Fixar e Montar	Cabos Elétricos	0.12250000000000001
EPI: Equipamentos Proteção Individual	Tomadas, interruptores e plugues	0.049444444444444444
Acessórios para Banheiro	Adesivos e Colas	0.1186111111111111
Cimentos	Construção Civil	0.15779761904761902
Infraestrutura	Outros	0.09517391174478443
Água Fria	Canos e Conexões Hidráulicas	0.390813492063492
Perfis e chapas em aço carbono	Barras, Tubos e Chapas Metalon	0.8498611111111111
Cabos e Fios Elétricos	EPI: Equipamentos Proteção Individual	0.2013888888888889
Acessórios e Consumíveis para Ferramentas	Verniz e Solvente	0.07083333333333333
Marmores e Granitos	Artefatos de Concreto	0.10041666666666667
Cimentos	Outros - Materiais de Construção	0.32330357142857136
Ferramentas para Construção	Para Raios e SPDA	0.25799603174603175
Outros - Ferragens	Insumos metálicos	0.045
Outros - Materiais de Construção	Canos e Conexões Hidráulicas	0.1738888888888889
Ferramentas   para Pintura	Tomadas, interruptores e plugues	0.19361111111111112
Cabos e Fios Elétricos	Água Fria	0.9856304112554113
Acessórios e Conexões Elétricas	Tomadas, interruptores e plugues	0.1472222222222222
Outros - Pavimentação	Argamassas	0.06964285714285715
Lona, Papelão e Plástico Bolha	Cimentos	0.08499999999999999
Outros - Materiais de Construção	Acessórios de Portas e Janelas	0.09291666666666668
Aduela de Concreto	Artefatos de Concreto	0.1753835978835979
Outros	Quadros e Caixas Elétricas	0.43819444444444444
Acessórios para telhado	EPI: Equipamentos Proteção Individual	0.12625
Pias e Lavatórios	Telhas	0.031607142857142854
Ferramentas para Jardim	Ferramentas Manuais	0.2961111111111111
Aduela de Concreto	Poste de Concreto	0.9769444444444445
Caixas de Esgoto	Organização e Transporte de Ferramentas	0.18183531746031747
Gesso e Drywall	Ferragens para Fixar e Montar	0.08666666666666667
Subestações e Alta Tensão	Conectores	0.21615079365079365
Areia, Pedra Brita, Gesso, Cal e Argila	Tomadas, interruptores e plugues	0.12375
Tomadas, interruptores e plugues	Poste de Concreto	0.9783333333333334
Veículos de transporte	Produtos para Limpeza	0.08791666666666666
Disjuntores e Fusíveis	Proteções Elétricas	0.9409722222222222
Barras, Tubos e Chapas Metalon	Perfis e chapas em aço carbono	0.3448611111111111
Produtos para Limpeza	EPI: Equipamentos Proteção Individual	0.07444444444444445
Conteineres	Ar Condicionado	0.5826388888888889
Adesivos e Colas	EPI: Equipamentos Proteção Individual	0.075
Construção Civil	Verniz e Solvente	0.6438888888888888
maquinas pesadas	Tomadas, interruptores e plugues	0.058333333333333334
Perfis e chapas em aço carbono	Sanitário	0.14958333333333332
Ferramentas Elétricas/Bateria	Luminárias	0.3111111111111111
Outros - Materiais Hidráulicos	Registros e Bases	0.3672718253968254
Ferragens para Fixar e Montar	Outros - Ferragens	0.40851851851851856
Cabos e Fios Elétricos	Ferramentas para Jardim	0.22708333333333333
Transportes	Tomadas, interruptores e plugues	0.1809027777777778
Outros - Materiais Hidráulicos	Controlador de Carga	0.11777777777777777
Acessórios para telhado	Outros	0.09517391174478443
Automação Industrial	Produtos para Limpeza	0.12180555555555554
Outros - Ferragens	Cabos Elétricos	0.29277777777777775
Canos e Conexões Hidráulicas	EPI: Equipamentos Proteção Individual	0.17430555555555557
Acessórios de Portas e Janelas	Tomadas, interruptores e plugues	0.08152777777777778
Canos e Conexões Hidráulicas	Formas	0.07958333333333333
Telhas	Cimentos	0.9958333333333333
Acessibilidade e Segurança	Produtos para Limpeza	0.05722222222222222
Cabos e Fios Elétricos	EPI: Equipamentos Proteção Individual	0.2013888888888889
Proteções Elétricas	Quadros e Caixas Elétricas	0.14740079365079367
String Box	Tomadas, interruptores e plugues	0.08097222222222224
Aduela de Concreto	Poste de Concreto	0.9583333333333334
Madeiras para Construção	Areia, Pedra Brita, Gesso, Cal e Argila	0.05465277777777778
Ralos e Grelhas	Tomadas, interruptores e plugues	0.14375
Outros	Produtos para Limpeza	0.3360912698412699
Equipamentos para Piscina	Outros	0.09517391174478443
Água Fria	Sanitário	0.8125694444444443
Serviços Mecânicos	Construção Civil	0.24041666666666664
Acessórios e Consumíveis para Ferramentas	EPI: Equipamentos Proteção Individual	0.13986111111111113
Ferramentas   para Pintura	Tomadas, interruptores e plugues	0.065
Aços para Construção	Ferragens	0.7637037037037037
Outros - Materiais de Construção	Acessórios e Consumíveis para Ferramentas	0.08125
Conteineres	EPI: Equipamentos Proteção Individual	0.11909722222222222
Eletrocalhas	Tomadas, interruptores e plugues	0.48208333333333336
Cabos e Fios Elétricos	Ferramentas Manuais	0.22624999999999998
Aços para Construção	Perfis e chapas em aço carbono	0.12357142857142857
Transformadores de Energia	Poste de Concreto	0.7312698412698413
Ferragens para Fixar e Montar	Acessórios e Conexões Elétricas	0.19722222222222222
Plugs e Adaptadores	Registros e Bases	0.1404166666666667
Suporte e Fixação	Adesivos e Colas	0.13534722222222223
Tomadas, interruptores e plugues	Aduela de Concreto	0.638888888888889
Aços para Construção	Cercados e Segurança	0.8320833333333333
Artefatos de Concreto	Poste de Concreto	0.5959722222222222
Outros - Materiais Hidráulicos	Ferramentas Manuais	0.1019642857142857
Verniz e Solvente	Adesivos e Colas	0.10479166666666667
Isolamento	Tomadas, interruptores e plugues	0.0923611111111111
Sanitário	Caixas de Esgoto	0.1399074074074074
Acessórios de Portas e Janelas	Portas e esquadrias	0.09722222222222224
Ferramentas Manuais	EPI: Equipamentos Proteção Individual	0.06125
Outros - Materiais Hidráulicos	Produtos para Limpeza	0.07499999999999998
Cimentos	EPI: Equipamentos Proteção Individual	0.058194444444444444
Lixeiras	Fontes de Energia	0.4294444444444444
Para Raios e SPDA	Poste de Concreto	0.07111111111111111
