y_true	y_pred	pred_confidence
Outros - Ferragens	Acessórios Hidráulicos	0.004841599624416867
Canos e Conexões Hidráulicas	Sanitário	0.01647510372231639
Lixeiras de Calçada	Barras, Tubos e Chapas Metalon	0.005101681966283459
Madeiras para Construção	Marmores e Granitos	0.0056352237498675985
Canos e Conexões Hidráulicas	Sanitário	0.023768956329580124
Acessórios e Conexões Elétricas	Tomadas, interruptores e plugues	0.028315294466172675
Cabos e Fios Elétricos	Cabos Elétricos	0.009344940207434227
Produtos para Madeira	Outros - Materiais Hidráulicos	0.009423351143461899
Cabos e Fios Elétricos	Sinalização, Letras e Números	0.0072319066900167015
Tomadas, interruptores e plugues	maquinas pesadas	0.04701283342616214
Outros - Ferragens	Perfis e chapas em aço carbono	0.004775648778734781
Sinalização, Letras e Números	Abajures	0.0029673590504451044
Ferragens para Fixar e Montar	Cabos e Fios Elétricos	0.005196571144226617
Outros - Materiais Elétricos	Ar Condicionado	0.004718358230069831
Tomadas, interruptores e plugues	Outros - Materiais Hidráulicos	0.009466145159975898
Poste de Concreto	Poste Metálico	0.060602765892560286
Sanitário	Assentos Sanitários	0.07614475974756907
Outros - Tintas e Acessórios	Canos e Conexões Hidráulicas	0.004335625022482799
Ferragens para Fixar e Montar	Acessórios e Conexões Elétricas	0.032568858518647145
Condutos	Tomadas, interruptores e plugues	0.016886730418622254
Perfis e chapas em aço carbono	Parafusos e acessórios	0.011432565566915857
Tubos e conexões	Cabos Elétricos	0.005517405000492209
Parafusos e acessórios	Ferragens para Fixar e Montar	0.0074880556619704025
Canos e Conexões Hidráulicas	Sanitário	0.008642004087448628
Torneiras para Cozinha	Torneiras	0.005683855730196767
Cabos e Fios Elétricos	Cabos Elétricos	0.18251698325433488
Tomadas, interruptores e plugues	Tubos e conexões industriais	0.00884465712132129
Acessórios e Conexões Elétricas	Fontes de Energia	0.0054845773070979304
Casa em Steel-Frame	Abajures	0.0029673590504451044
Ferramentas Elétricas/Bateria	Automação Industrial	0.006612176683997859
Construção Civil	Para Raios e SPDA	0.005658609760239396
Fibra de Vidro	Artefatos de Concreto	0.004708640231514961
Parafusos e acessórios	Ferragens para Fixar e Montar	0.032040193997844246
Água Fria	Registros e Bases	0.025193103229858946
Automação Industrial	Proteções Elétricas	0.010327243376505335
Aduela de Concreto	Artefatos de Concreto	0.008796590393488976
Perfis e chapas em aço carbono	Tubos e conexões industriais	0.005273616030960513
Insumos metálicos	Canos e Conexões Hidráulicas	0.004853587483157769
Ferramentas Manuais	Cabos Elétricos	0.006382876638495238
Artefatos de Concreto	Aduela de Concreto	0.016046925804700907
Telhas	Acessórios para Banheiro	0.007297840830376048
