label	precision	recall	f1_score	support
Abajures	0.0	0.0	0.0	0.0
Acessibilidade	0.5	1.0	0.6666666666666666	2.0
Acessibilidade e Segurança	0.0	0.0	0.0	1.0
Acessórios Hidráulicos	0.5	0.14285714285714285	0.2222222222222222	7.0
Acessórios de Portas e Janelas	0.8043478260869565	0.8809523809523809	0.8409090909090909	42.0
Acessórios e Conexões Elétricas	0.775	0.775	0.775	40.0
Acessórios e Consumíveis para Ferramentas	0.7647058823529411	0.6842105263157895	0.7222222222222222	19.0
Acessórios para Banheiro	0.5714285714285714	0.4444444444444444	0.5	9.0
Acessórios para Pisos e Revestimentos	0.0	0.0	0.0	1.0
Acessórios para telhado	0.0	0.0	0.0	4.0
Adesivos e Colas	0.8181818181818182	0.8181818181818182	0.8181818181818182	11.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	0.7571428571428571	0.8153846153846154	0.7851851851851852	65.0
Alarmes e Sensores de Presença	0.0	0.0	0.0	2.0
Anéis de Vedação	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.0
Apoio e Administrativo	0.0	0.0	0.0	1.0
Aquecedores de Água	0.6	1.0	0.75	3.0
Ar Condicionado	0.7878787878787878	0.9285714285714286	0.8524590163934426	28.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.8148148148148148	0.88	0.8461538461538461	25.0
Argamassas	0.75	1.0	0.8571428571428571	9.0
Armazenamento, Captação e Tratamento de Água	0.8181818181818182	0.9	0.8571428571428571	10.0
Artefatos de Concreto	0.6206896551724138	0.72	0.6666666666666666	75.0
Assentos Sanitários	0.7777777777777778	0.7777777777777778	0.7777777777777778	9.0
Automação Industrial	0.9230769230769231	0.75	0.8275862068965517	16.0
Automação Residencial	0.0	0.0	0.0	1.0
Aços para Construção	0.6666666666666666	0.6956521739130435	0.6808510638297872	23.0
Banheiro Comercial	1.0	1.0	1.0	1.0
Barras e tubos INOX	1.0	1.0	1.0	4.0
Barras, Tubos e Chapas Metalon	0.6666666666666666	0.5714285714285714	0.6153846153846154	21.0
Barreiras de Proteção	1.0	0.5	0.6666666666666666	8.0
Batentes e Guarnições	0.0	0.0	0.0	0.0
Baterias	0.75	1.0	0.8571428571428571	6.0
Blocos Cerâmicos	1.0	0.8	0.8888888888888888	5.0
Blocos de Concreto	0.7083333333333334	0.9444444444444444	0.8095238095238095	18.0
Blocos de Vidro	0.0	0.0	0.0	1.0
CBUQ	1.0	1.0	1.0	1.0
Cabos Blindados	1.0	1.0	1.0	1.0
Cabos Elétricos	0.8032786885245902	0.9702970297029703	0.8789237668161435	101.0
Cabos e Fios Elétricos	0.775	0.5344827586206896	0.6326530612244898	58.0
Cadeiras	0.0	0.0	0.0	1.0
Caixas de Esgoto	0.5	0.4	0.4444444444444444	5.0
Calhas, Rufos e Algerosas	0.6923076923076923	0.8181818181818182	0.75	11.0
Canos de Concreto	1.0	0.16666666666666666	0.2857142857142857	6.0
Canos e Conexões Hidráulicas	0.7440944881889764	0.9402985074626866	0.8307692307692308	201.0
Carenagem hidraulica	0.0	0.0	0.0	1.0
Carrinhos de Carga e Rodas	1.0	1.0	1.0	1.0
Casa em Steel-Frame	0.0	0.0	0.0	1.0
Casas pré-fabricadas	1.0	1.0	1.0	1.0
Cercados e Segurança	0.84	0.9545454545454546	0.8936170212765957	22.0
Chapa em alumínio	0.6666666666666666	0.4	0.5	5.0
Chapas INOX	1.0	0.5	0.6666666666666666	2.0
Chapas e Painéis	0.8888888888888888	0.9411764705882353	0.9142857142857143	17.0
Chuveiros	0.0	0.0	0.0	1.0
Cimento Asfáltico de Petróleo - CAP	1.0	1.0	1.0	1.0
Cimentos	0.8333333333333334	0.9090909090909091	0.8695652173913043	22.0
Cintas, Cabos, Cordas, Correntes e Acessórios	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Climatizadores de Ar	1.0	1.0	1.0	1.0
