y_true	y_pred	pred_confidence
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.8000666960393942
Ferramentas Manuais	Cabos e Fios Elétricos	0.5130715430332572
Acessórios e Conexões Elétricas	Tomadas, interruptores e plugues	0.6122136992932482
Aduela de Concreto	Artefatos de Concreto	0.5420496834596384
Aduela de Concreto	Artefatos de Concreto	0.9736611197514542
Canos e Conexões Hidráulicas	Parafusos e acessórios	0.16029931175448742
Tomadas, interruptores e plugues	Sanitário	0.9611498171465674
Tomadas, interruptores e plugues	Acessórios e Conexões Elétricas	0.9960739067196339
Ferragens para Fixar e Montar	Acessórios e Conexões Elétricas	0.6392404773281257
Artefatos de Concreto	Quadros e Caixas Elétricas	0.7016528776362667
Cabos e Fios Elétricos	Ferramentas Manuais	0.3329176254745898
Cabos e Fios Elétricos	Construção Civil	0.6132593929892391
Tomadas, interruptores e plugues	Ferramentas Manuais	0.6490761294257361
Perfis e chapas em aço carbono	Ferragens para Fixar e Montar	0.23017235476297912
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.8413729653959016
Telhas	Barras, Tubos e Chapas Metalon	0.28915521859803894
Cabos e Fios Elétricos	Cabos Elétricos	0.6930647581724698
Aduela de Concreto	Tomadas, interruptores e plugues	0.6011090373879466
Quadros e Caixas Elétricas	Proteções Elétricas	0.9736036627815519
Areia, Pedra Brita, Gesso, Cal e Argila	Aduela de Concreto	0.4451139859891276
Outros - Ferragens	Artefatos de Concreto	0.5243468087810143
Cercados e Segurança	Poste de Concreto	0.43021007300631553
Tomadas, interruptores e plugues	Ferragens para Fixar e Montar	0.9988592467138849
Artefatos de Concreto	Tomadas, interruptores e plugues	0.44797136898501005
Aduela de Concreto	Poste de Concreto	0.43020659697985736
Construção Civil	Quadros e Caixas Elétricas	0.9701290436597476
Tomadas, interruptores e plugues	Artefatos de Concreto	0.995911658761281
Perfis e chapas em aço carbono	Sanitário	0.21197383923667418
Parafusos e acessórios	Sanitário	0.443181253779416
Outros - Ferragens	Artefatos de Concreto	0.5519167136452349
Proteções Elétricas	Cabos e Fios Elétricos	0.6821045293455563
Luminárias	Canos e Conexões Hidráulicas	0.12426402231174465
Aços para Construção	Perfis e chapas em aço carbono	0.2799524142251632
Quadros e Caixas Elétricas	Proteções Elétricas	0.78342293068302
