label	precision	recall	f1_score	support
Acessórios de Portas e Janelas	0.9302325581395349	0.9523809523809523	0.9411764705882353	42.0
Acessórios e Conexões Elétricas	0.8108108108108109	0.75	0.7792207792207793	40.0
Aduela de Concreto	0.7297297297297297	0.8307692307692308	0.7769784172661871	65.0
Ar Condicionado	1.0	1.0	1.0	27.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.9545454545454546	0.84	0.8936170212765957	25.0
Artefatos de Concreto	0.7808219178082192	0.76	0.7702702702702703	75.0
Aços para Construção	0.8571428571428571	0.782608695652174	0.8181818181818182	23.0
Barras, Tubos e Chapas Metalon	0.8888888888888888	0.8	0.8421052631578947	20.0
Cabos Elétricos	0.8067226890756303	0.9504950495049505	0.8727272727272727	101.0
Cabos e Fios Elétricos	0.7777777777777778	0.603448275862069	0.6796116504854369	58.0
Canos e Conexões Hidráulicas	0.8744186046511628	0.94	0.9060240963855422	200.0
Cercados e Segurança	0.9473684210526315	0.8571428571428571	0.9	21.0
Cimentos	0.9473684210526315	0.8181818181818182	0.8780487804878049	22.0
Construção Civil	0.8846153846153846	0.8846153846153846	0.8846153846153846	26.0
EPI: Equipamentos Proteção Individual	0.9090909090909091	0.9433962264150944	0.9259259259259259	53.0
Ferragens para Fixar e Montar	0.7301587301587301	0.8070175438596491	0.7666666666666667	57.0
Ferramentas Manuais	0.7916666666666666	0.7755102040816326	0.7835051546391752	49.0
Luminárias	0.9032258064516129	0.875	0.8888888888888888	32.0
Lâmpadas	0.9107142857142857	0.9444444444444444	0.9272727272727272	54.0
Outros - Ferragens	0.8461538461538461	0.4074074074074074	0.55	27.0
Para Raios e SPDA	0.8421052631578947	0.6956521739130435	0.7619047619047619	23.0
Parafusos e acessórios	0.7777777777777778	0.7777777777777778	0.7777777777777778	27.0
Perfis e chapas em aço carbono	0.6451612903225806	0.8333333333333334	0.7272727272727273	24.0
Poste de Concreto	0.9038461538461539	0.9791666666666666	0.94	48.0
Proteções Elétricas	0.9178082191780822	0.9710144927536232	0.9436619718309859	69.0
Quadros e Caixas Elétricas	0.8	0.5454545454545454	0.6486486486486487	22.0
Sanitário	0.8727272727272727	0.96	0.9142857142857143	100.0
Telhas	1.0	0.9523809523809523	0.975609756097561	21.0
Tomadas, interruptores e plugues	0.7589285714285714	0.648854961832061	0.6995884773662552	131.0
Transformadores de Energia	0.90625	0.9666666666666667	0.9354838709677419	30.0
Tubos e Eletrodutos	0.926829268292683	0.7916666666666666	0.8539325842696629	48.0
Tubos e conexões industriais	0.7916666666666666	0.7916666666666666	0.7916666666666666	24.0
Verniz e Solvente	0.8529411764705882	0.9666666666666667	0.90625	30.0
macro avg	0.8568938005877285	0.8303854442756464	0.8382096831862154	1614.0
weighted avg	0.8455419517474037	0.8451053283767038	0.8412485702291936	1614.0
