ID_Sub,Sub_Name,count
207,Canos e Conexões Hidráulicas,1002
40,"Tomadas, interruptores e plugues",655
5,Cabos Elétricos,505
21,Sanitário,502
317,Artefatos de Concreto,376
38,Proteções Elétricas,344
400,Aduela de Concreto,326
189,Cabos e Fios Elétricos,290
107,Ferragens para Fixar e Montar,283
138,Lâmpadas,272
255,EPI: Equipamentos Proteção Individual,265
124,Ferramentas Manuais,245
203,Tubos e Eletrodutos,240
361,Poste de Concreto,238
236,Acessórios de Portas e Janelas,208
188,Acessórios e Conexões Elétricas,198
139,Luminárias,158
202,Transformadores de Energia,151
280,Verniz e Solvente,150
66,Ar Condicionado,137
287,Outros - Ferragens,136
467,Parafusos e acessórios,133
314,Construção Civil,129
161,"Areia, Pedra Brita, Gesso, Cal e Argila",123
439,Perfis e chapas em aço carbono,118
398,Tubos e conexões industriais,118
14,Para Raios e SPDA,116
159,Aços para Construção,113
197,Quadros e Caixas Elétricas,112
169,Cimentos,109
167,Cercados e Segurança,108
183,Telhas,105
163,"Barras, Tubos e Chapas Metalon",103
119,Acessórios e Consumíveis para Ferramentas,96
20,Água Fria,96
425,Formas,95
126,Ferramentas para Jardim,93
9,Blocos de Concreto,90
362,Poste Metálico,84
147,Chapas e Painéis,83
300,Automação Industrial,80
165,Tijolos e Blocos Estruturais,72
11,Infraestrutura,70
291,Outros - Materiais de Construção,69
303,Eletrocalhas,67
214,Registros e Bases,66
25,Tubos e conexões para Gases Medicinais,66
125,Ferramentas para Construção,66
293,Outros - Materiais Hidráulicos,62
194,Fontes de Energia,61
402,Insumos metálicos,55
267,Adesivos e Colas,55
166,"Calhas, Rufos e Algerosas",54
320,Transportes,53
240,Portas e esquadrias,52
162,"Armazenamento, Captação e Tratamento de Água",51
143,Refletores,51
13,Condutos,50
