model	alpha	cv_f1_macro_mean	cv_f1_macro_std	test_accuracy	test_f1_macro
MultinomialNB	0.05	0.8313210990798622	0.009199243839426788	0.8451053283767038	0.8382096831862154
MultinomialNB	0.1	0.825171603980038	0.005176446223527368	0.8345724907063197	0.8238721664577163
ComplementNB	0.5	0.8229831218862398	0.0102857614803295	0.8345724907063197	0.8257159508279655
ComplementNB	0.25	0.8227993134599826	0.009752264483919101	0.8420074349442379	0.8333876051641025
ComplementNB	0.1	0.8214126104621979	0.011213369131142464	0.8475836431226765	0.8364604040162348
ComplementNB	1.0	0.8196776997829819	0.0075068871088516355	0.8296158612143743	0.8201613987418075
ComplementNB	0.05	0.8187352592637636	0.01399478084001457	0.8438661710037175	0.8305268101194009
ComplementNB	2.0	0.8154671576718083	0.009995194929372174	0.8091697645600991	0.7970681040934395
ComplementNB	5.0	0.7990605025407221	0.009875598992421254	0.7905824039653035	0.7784457825244613
MultinomialNB	0.25	0.7923803088041043	0.005249836295026487	0.8104089219330854	0.7991075900154239
MultinomialNB	0.5	0.7400135423713282	0.013527528446351031	0.7657992565055762	0.7526655990678541
MultinomialNB	1.0	0.6483426566186796	0.011768655450967306	0.7038413878562577	0.6687367949127014
MultinomialNB	2.0	0.49249770505100327	0.0179205548901874	0.6059479553903345	0.5140594214278389
MultinomialNB	5.0	0.24732433897716577	0.0037167167477690447	0.45043370508054525	0.3027243951483156
