ID_Sub,Sub_Name,count
119,Acessórios e Consumíveis para Ferramentas,96
20,Água Fria,96
425,Formas,95
126,Ferramentas para Jardim,93
9,Blocos de Concreto,90
362,Poste Metálico,84
147,Chapas e Painéis,83
300,Automação Industrial,80
165,Tijolos e Blocos Estruturais,72
11,Infraestrutura,70
291,Outros - Materiais de Construção,69
303,Eletrocalhas,67
214,Registros e Bases,66
25,Tubos e conexões para Gases Medicinais,66
125,Ferramentas para Construção,66
293,Outros - Materiais Hidráulicos,62
194,Fontes de Energia,61
402,Insumos metálicos,55
267,Adesivos e Colas,55
166,"Calhas, Rufos e Algerosas",54
320,Transportes,53
240,Portas e esquadrias,52
162,"Armazenamento, Captação e Tratamento de Água",51
143,Refletores,51
13,Condutos,50
