ID_CAT	Cat_Name	ID_Sub	Sub_Name	ID_Prod	Prod_Desc
82	Materiais Elétricos	5	Cabos Elétricos	192	Cabo cobre nú 50mm²
82	Materiais Elétricos	5	Cabos Elétricos	194	CABO CONDUTOR 2,5mm² PVC BT 750V
82	Materiais Elétricos	5	Cabos Elétricos	197	CABO CONDUTOR 16mm² EPR BT 1kV
82	Materiais Elétricos	5	Cabos Elétricos	257	CABO DE COBRE FLEXÍVEL ISOLADO, 240 mm², ANTI-CHAMAS 0,6/1,0 kV
82	Materiais Elétricos	5	Cabos Elétricos	302	CABO CONDUTOR 4mm² PVC BT 750V
82	Materiais Elétricos	5	Cabos Elétricos	319	Cabo baixa tensão 50mm²  061kV  Isolação em EPR90º  Livre halogênio  Instalação tipo B1
82	Materiais Elétricos	5	Cabos Elétricos	320	Cabo baixa tensão 70mm²  061kV  Isolação em EPR90º  Livre halogênio  Instalação tipo B1
82	Materiais Elétricos	5	Cabos Elétricos	321	CABO DE COBRE FLEXÍVEL ISOLADO, 120 mm² , ANTI-CHAMAS 0,6/1,0 kV
82	Materiais Elétricos	5	Cabos Elétricos	322	Cabo baixa tensão 240mm²  061kV  Isolação em EPR90º  Livre halogênio  Instalação tipo B1
82	Materiais Elétricos	5	Cabos Elétricos	371	CABO CONDUTOR 6mm² PVC BT 750V
82	Materiais Elétricos	5	Cabos Elétricos	372	CABO CONDUTOR 50mm² PVC BT 750V cor VERMELHA
82	Materiais Elétricos	5	Cabos Elétricos	405	Otimizador 4510025232 Ts4ao Mlpe 1500v Mc4 Cabo 12m
82	Materiais Elétricos	5	Cabos Elétricos	406	Cabo Solar 0.6-1KV 6mm²
82	Materiais Elétricos	5	Cabos Elétricos	409	Cabo Solar Nexans ALDO Solar 47064 ENERGYFLEX Afitox 061KV 1500V
82	Materiais Elétricos	5	Cabos Elétricos	431	Cabo PP 4 x 25mm
82	Materiais Elétricos	5	Cabos Elétricos	432	Cabo Flexivel 1 x 15mm
82	Materiais Elétricos	5	Cabos Elétricos	1182	CABO DE COBRE NU 10 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1183	CABO DE COBRE NU 120 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1184	CABO DE COBRE NU 150 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1185	CABO DE COBRE NU 16 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1186	CABO DE COBRE NU 185 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1187	CABO DE COBRE NU 25 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1188	CABO DE COBRE NU 300 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1189	CABO DE COBRE NU 35 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1190	CABO DE COBRE NU 50 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1191	CABO DE COBRE NU 500 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1192	CABO DE COBRE NU 70 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1193	CABO DE COBRE NU 95 MM2 MEIO-DURO
82	Materiais Elétricos	5	Cabos Elétricos	1194	CABO DE COBRE RIGIDO, CLASSE 2, ISOLACAO EM PVC, ANTI-CHAMA BWF-B, 1 CONDUTOR, 450/750 V, DIAMETRO 120 MM2
82	Materiais Elétricos	5	Cabos Elétricos	1195	CABO DE COBRE UNIPOLAR 10 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1196	CABO DE COBRE UNIPOLAR 16 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1197	CABO DE COBRE UNIPOLAR 16 MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1198	CABO DE COBRE UNIPOLAR 25 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1199	CABO DE COBRE UNIPOLAR 25MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1200	CABO DE COBRE UNIPOLAR 35 MM2, BLINDADO, ISOLACAO 12/20 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1201	CABO DE COBRE UNIPOLAR 35 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1202	CABO DE COBRE UNIPOLAR 35 MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1203	CABO DE COBRE UNIPOLAR 50 MM2, BLINDADO, ISOLACAO 12/20 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1204	CABO DE COBRE UNIPOLAR 50 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1205	CABO DE COBRE UNIPOLAR 50 MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1206	CABO DE COBRE UNIPOLAR 70 MM2, BLINDADO, ISOLACAO 12/20 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1207	CABO DE COBRE UNIPOLAR 70 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1208	CABO DE COBRE UNIPOLAR 70 MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1209	CABO DE COBRE UNIPOLAR 95 MM2, BLINDADO, ISOLACAO 12/20 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1210	CABO DE COBRE UNIPOLAR 95 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC
82	Materiais Elétricos	5	Cabos Elétricos	1211	CABO DE COBRE UNIPOLAR 95 MM2, BLINDADO, ISOLACAO 6/10 KV EPR, COBERTURA EM PVC
