ID_CAT	Cat_Name	ID_Sub	Sub_Name	ID_Prod	Prod_Desc
45	Infraestrutura	10	Concreto	1708	CONCRETO AUTOADENSAVEL (CAA) CLASSE DE RESISTENCIA C15, ESPALHAMENTO SF2, INCLUI SERVICO DE BOMBEAMENTO (NBR 15823)
45	Infraestrutura	10	Concreto	1709	CONCRETO AUTOADENSAVEL (CAA) CLASSE DE RESISTENCIA C20, ESPALHAMENTO SF2, INCLUI SERVICO DE BOMBEAMENTO (NBR 15823)
45	Infraestrutura	10	Concreto	1710	CONCRETO AUTOADENSAVEL (CAA) CLASSE DE RESISTENCIA C25, ESPALHAMENTO SF2, INCLUI SERVICO DE BOMBEAMENTO (NBR 15823)
45	Infraestrutura	10	Concreto	1711	CONCRETO AUTOADENSAVEL (CAA) CLASSE DE RESISTENCIA C30, ESPALHAMENTO SF2, INCLUI SERVICO DE BOMBEAMENTO (NBR 15823)
45	Infraestrutura	10	Concreto	11302	Concreto betuminoso usinado a quente (C.B.U.Q.)
45	Infraestrutura	10	Concreto	1712	CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, FAIXA C, COM CAP 30/45 - AQUISICAO POSTO USINA
45	Infraestrutura	10	Concreto	1713	CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, FAIXA C, COM CAP 50/70 - AQUISICAO POSTO USINA
45	Infraestrutura	10	Concreto	1714	CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, PARA BINDER, COM CAP 50/70 - AQUISICAO POSTO USINA
45	Infraestrutura	10	Concreto	15628	Concreto Betuminoso Usinado Quente (CBUQ)
45	Infraestrutura	10	Concreto	21658	CONCRETO ESTRUTURAL
45	Infraestrutura	10	Concreto	11321	CONCRETO FCK 25MPa (m³)
45	Infraestrutura	10	Concreto	21657	CONCRETO MAGRO
45	Infraestrutura	10	Concreto	10552	CONCRETO USINADO 25 MPA E 30 MPA
45	Infraestrutura	10	Concreto	8053	CONCRETO USINADO CONVENCIONAL
45	Infraestrutura	10	Concreto	8520	CONCRETO USINADO, MOLDADA IN LOCO EM TRECHO RETO, 45 CM BASE X 15 CM ALTURA
45	Infraestrutura	10	Concreto	11029	Escoras/esticador
45	Infraestrutura	10	Concreto	10959	GUIAS DE CONCRETO COM AS SEGUINTES DIMENSOES 1,00X0,30X0,10
45	Infraestrutura	10	Concreto	4196	POZOLANA DE CLASSE C
75	Ferragens	100	Carrinhos de Carga e Rodas	16649	Carrinho de mão
75	Ferragens	100	Carrinhos de Carga e Rodas	17550	Carrinho de mão com caçamba metálica rasa – 50L
75	Ferragens	100	Carrinhos de Carga e Rodas	1551	CARRINHO DE MAO DE ACO CAPACIDADE 50 A 60 L, PNEU COM CAMARA
75	Ferragens	100	Carrinhos de Carga e Rodas	17551	Carrinho de Mão metálico – Extra Forte
75	Ferragens	100	Carrinhos de Carga e Rodas	13504	CARRINHO MÃO - CARRINHO MÃO TIPO RODA: PNEU COM CÂMARA, MATERIAL CAÇAMBA: CHAPA AÇO GALVANIZADO, QUANTIDADE RODA: 1 UN, CAPACIDADE CAÇAMBA: 60 L, MATERIAL PÉS: FERRO , MATERIAL CHASSI: FERRO
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	6366	Cabo de aço 1/8
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15092	CABO DE ACO GALV S/ CAPA 1/8 POL 3,2MM
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1174	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 1/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1176	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 2/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1175	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 2 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1177	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 4 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1178	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 1/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1180	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 2/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1179	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 2 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1181	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 4 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	19959	Cabo nu de aço cobreado 2 AWG (ver nota abaixo)
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15849	CABOS DE ACOS PARA MAQUINA
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15850	DISCOS DE CERDAS
75	Ferragens	104	Escadas Móveis	15956	ESCADA ALUMINIO ARTICULADA
75	Ferragens	104	Escadas Móveis	6408	Escada alumínio dobrável 4 degraus
75	Ferragens	104	Escadas Móveis	21136	Escada articulada 4x3
75	Ferragens	104	Escadas Móveis	21137	Escada articulada 4x4
75	Ferragens	104	Escadas Móveis	18823	ESCADA ARTICULADA 4x4, 16 DEGRAUS DE ALUMÍNIO
75	Ferragens	104	Escadas Móveis	6732	Escada de Alumínio 3 degraus
75	Ferragens	104	Escadas Móveis	16432	Escada de Alumínio 5 degraus
75	Ferragens	104	Escadas Móveis	18824	ESCADA DE ALUMÍNIO DOMÉSTICA, 5 DEGRAUS
75	Ferragens	104	Escadas Móveis	2465	ESCADA DUPLA DE ABRIR EM ALUMINIO, MODELO PINTOR, 8 DEGRAUS
75	Ferragens	104	Escadas Móveis	12457	ESCADA EM ALUMINIO EXTENSIVA E DOBRAVEL 4 EM 1 2X12 DEGRAUS
75	Ferragens	104	Escadas Móveis	2466	ESCADA EXTENSIVEL EM ALUMINIO COM 6,00 M ESTENDIDA
75	Ferragens	104	Escadas Móveis	22229	Escada extensível vazada
75	Ferragens	104	Escadas Móveis	22140	Escada extensível vazada 4,20m
75	Ferragens	104	Escadas Móveis	21531	Escada metálica em alumínio, 7 degraus, anti-derrapante, carga nominal de 120kg
75	Ferragens	106	Fechaduras e Travas	8551	Conjunto de fechadura
75	Ferragens	106	Fechaduras e Travas	5927	Fechadura Eletroímã
75	Ferragens	106	Fechaduras e Travas	2558	FECHADURA ESPELHO PARA PORTA DE BANHEIRO, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO TRANQUETA
