ID_Sub	Sub_Name	ID_CAT	Cat_Name	Qtd_Produtos
207	Canos e Conexões Hidráulicas	83	Materiais Hidráulicos	893
189	Cabos e Fios Elétricos	82	Materiais Elétricos	713
467	Parafusos e acessórios	75	Ferragens	240
361	Poste de Concreto	45	Infraestrutura	238
474	Canos de Concreto	45	Infraestrutura	230
190	Disjuntores e Fusíveis	82	Materiais Elétricos	205
203	Tubos e Eletrodutos	82	Materiais Elétricos	205
255	EPI: Equipamentos Proteção Individual	100	Segurança do Trabalho	187
138	Lâmpadas	77	Iluminação	180
188	Acessórios e Conexões Elétricas	82	Materiais Elétricos	176
40	Tomadas, interruptores e plugues	82	Materiais Elétricos	170
317	Artefatos de Concreto	45	Infraestrutura	158
124	Ferramentas Manuais	76	Ferramentas	158
202	Transformadores de Energia	82	Materiais Elétricos	137
107	Ferragens para Fixar e Montar	75	Ferragens	132
66	Ar Condicionado	71	Climatização e Ventilação	132
314	Construção Civil	93	Serviços	129
14	Para Raios e SPDA	82	Materiais Elétricos	113
183	Telhas Cerâmicas	81	Construção Civil	104
167	Cercados e Segurança	81	Construção Civil	102
398	Tubos e conexões industriais	75	Ferragens	102
38	Proteções Elétricas	82	Materiais Elétricos	102
439	Perfis e chapas em aço carbono	75	Ferragens	102
197	Quadros e Caixas Elétricas	82	Materiais Elétricos	99
418	Tintas	90	Tintas e Acessórios	97
20	Água Fria	83	Materiais Hidráulicos	94
161	Areia, Pedra Brita, Gesso, Cal e Argila	81	Construção Civil	90
9	Blocos de Concreto	45	Infraestrutura	88
119	Acessórios e Consumíveis para Ferramentas	76	Ferramentas	87
400	Aduela de Concreto	45	Infraestrutura	85
147	Chapas e Painéis	80	Madeiras	83
300	Automação Industrial	91	Automação	80
362	Poste Metálico	45	Infraestrutura	79
236	Acessórios de Portas e Janelas	88	Portas, Janelas e Portões	75
303	Eletrocalhas	82	Materiais Elétricos	66
214	Registros e Bases	83	Materiais Hidráulicos	64
267	Adesivos e Colas	90	Tintas e Acessórios	59
194	Fontes de Energia	82	Materiais Elétricos	58
127	Ferramentas   para Pintura	76	Ferramentas	57
125	Ferramentas para Construção	76	Ferramentas	56
163	Barras, Tubos e Chapas Metalon	81	Construção Civil	53
240	Portas e esquadrias	88	Portas, Janelas e Portões	52
162	Armazenamento, Captação e Tratamento de Água	81	Construção Civil	51
143	Refletores	77	Iluminação	51
21	Sanitário	83	Materiais Hidráulicos	51
169	Cimentos	81	Construção Civil	51
159	Aços para Construção	81	Construção Civil	50
434	Pisos de concreto	98	Pavimentação	50
319	Produtos para Limpeza	95	Materiais de Limpeza	49
165	Tijolos e Blocos Estruturais	81	Construção Civil	47
126	Ferramentas para Jardim	76	Ferramentas	47
160	Argamassas	81	Construção Civil	44
320	Transportes	93	Serviços	43
427	Tela, cerca e gabião em aço	75	Ferragens	42
222	Acessórios para Pisos e Revestimentos	87	Pisos e Revestimentos	41
37	Gesso e Drywall	81	Construção Civil	41
2	Pisos	28	Arquitetura	40
166	Calhas, Rufos e Algerosas	81	Construção Civil	39
15	Subestações e Alta Tensão	82	Materiais Elétricos	38
280	Verniz e Solvente	90	Tintas e Acessórios	37
246	Vidros para Sacadas	88	Portas, Janelas e Portões	37
152	Madeiras para Construção	80	Madeiras	33
298	Vidros	81	Construção Civil	33
123	Ferramentas Elétricas/Bateria	76	Ferramentas	32
96	Eletros para Cozinha	74	Eletros	31
213	Ralos e Grelhas	83	Materiais Hidráulicos	30
425	Formas	45	Infraestrutura	30
16	Sistemas	82	Materiais Elétricos	29
122	Ferramentas de Medição	76	Ferramentas	29
269	Fitas	90	Tintas e Acessórios	28
454	Dutos e conexões PEAD	83	Materiais Hidráulicos	28
8	Blocos Cerâmicos	45	Infraestrutura	27
217	Torneiras	83	Materiais Hidráulicos	26
206	Caixas de Esgoto	83	Materiais Hidráulicos	26
278	Solventes e Removedores	90	Tintas e Acessórios	26
302	Baterias	82	Materiais Elétricos	26
205	Aquecedores de Água	83	Materiais Hidráulicos	26
164	Barreiras de Proteção	81	Construção Civil	26
432	maquinas pesadas	45	Infraestrutura	25
239	Janelas e Venezianas	88	Portas, Janelas e Portões	25
409	Conteineres	75	Ferragens	24
11	Infraestrutura	82	Materiais Elétricos	24
204	Acessórios Hidráulicos	83	Materiais Hidráulicos	23
13	Condutos	82	Materiais Elétricos	22
150	Forros	80	Madeiras	21
399	Barras e tubos INOX	75	Ferragens	20
172	Equipamentos para Construção	81	Construção Civil	20
17	Equipamentos	82	Materiais Elétricos	19
60	Pias e Lavatórios	69	Banheiros	19
45	Assentos Sanitários	69	Banheiros	19
270	Massa Acrílica	90	Tintas e Acessórios	19
158	Rodapés	80	Madeiras	19
436	Manta e Produtos Asfálticos	98	Pavimentação	19
178	Lona, Papelão e Plástico Bolha	81	Construção Civil	19
437	Tampões e Grelhas	98	Pavimentação	18
10	Concreto	45	Infraestrutura	18
401	Chapa em alumínio	75	Ferragens	18
195	Nobreaks	82	Materiais Elétricos	18
310	Painéis Fotovoltaicos	94	Fotovoltaico	17
106	Fechaduras e Travas	75	Ferragens	17
446	Anéis de Vedação	83	Materiais Hidráulicos	17
312	Inversores	91	Automação	17
271	Massa Corrida e Niveladora	90	Tintas e Acessórios	17
24	Equipamentos para Gases Medicinais	42	Gases Medicinais	17
175	Impermeabilizantes	81	Construção Civil	16
226	Pisos Cerâmicos	87	Pisos e Revestimentos	16
372	Elevador Cremalheira	36	Equipamentos 	16
229	Porcelanatos	87	Pisos e Revestimentos	16
346	Usina de Asfalto	98	Pavimentação	16
396	Cadeiras	28	Arquitetura	16
