"ID_Sub"	"Sub_Name"	"ID_CAT"	"Cat_Name"
2	Pisos	28	Arquitetura
3	Revestimentos	28	Arquitetura
41	Outros Arquitetura	28	Arquitetura
315	Móveis	28	Arquitetura
324	Acessibilidade	28	Arquitetura
396	Cadeiras	28	Arquitetura
435	Placas e forros minerais	28	Arquitetura
443	Pias e Bancadas em Mármore	28	Arquitetura
301	Equipamentos para Piscina	36	Equipamentos 
369	Transporte Vertical	36	Equipamentos 
370	Plataformas de acessibilidade	36	Equipamentos 
372	Elevador Cremalheira	36	Equipamentos 
408	Veículos de transporte	36	Equipamentos 
411	Bomba de Êmbolo	36	Equipamentos 
426	Compressor de Ar	36	Equipamentos 
441	Controle de Vibração	36	Equipamentos 
455	Bomba Submersa	36	Equipamentos 
465	Equipamentos para Academia	36	Equipamentos 
479	Motores Elétricos	36	Equipamentos 
23	Outros	42	Gases Medicinais
24	Equipamentos para Gases Medicinais	42	Gases Medicinais
25	Tubos e conexões para Gases Medicinais	42	Gases Medicinais
7	Argamassa	45	Infraestrutura
8	Blocos Cerâmicos	45	Infraestrutura
9	Blocos de Concreto	45	Infraestrutura
10	Concreto	45	Infraestrutura
32	Madeiras	45	Infraestrutura
33	Ferragens	45	Infraestrutura
35	Instalações Provisórias	45	Infraestrutura
36	Outros	45	Infraestrutura
317	Artefatos de Concreto	45	Infraestrutura
323	Maquinário	45	Infraestrutura
361	Poste de Concreto	45	Infraestrutura
362	Poste Metálico	45	Infraestrutura
394	Cimento Asfáltico de Petróleo - CAP	45	Infraestrutura
395	CBUQ	45	Infraestrutura
400	Aduela de Concreto	45	Infraestrutura
403	Pré-Moldados	45	Infraestrutura
407	Vigas e perfis metálicos	45	Infraestrutura
425	Formas	45	Infraestrutura
432	maquinas pesadas	45	Infraestrutura
473	Guindastes	45	Infraestrutura
474	Canos de Concreto	45	Infraestrutura
1	Sem Categoria	46	Outros
26	Outros	46	Outros
368	Esportes e Lazer	46	Outros
42	Acessibilidade e Segurança	69	Banheiros
43	Acessórios para Banheiro	69	Banheiros
44	Aquecedores de Água	69	Banheiros
45	Assentos Sanitários	69	Banheiros
46	Banheiras, SPAs e Ofurôs	69	Banheiros
47	Banheiro Comercial	69	Banheiros
48	Box para Banheiro	69	Banheiros
49	Chuveiros	69	Banheiros
