	precision	recall	f1-score	support
Acessibilidade	1.0	1.0	1.0	2.0
Acessórios Hidráulicos	0.6	0.6	0.6	5.0
Acessórios de Portas e Janelas	0.7857142857142857	0.7333333333333333	0.7586206896551724	15.0
Acessórios e Conexões Elétricas	0.9696969696969697	0.9142857142857143	0.9411764705882353	35.0
Acessórios e Consumíveis para Ferramentas	0.9285714285714286	0.7647058823529411	0.8387096774193549	17.0
Acessórios para telhado	1.0	0.6666666666666666	0.8	3.0
Adesivos e Colas	0.6666666666666666	0.8	0.7272727272727273	10.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	0.9411764705882353	0.9411764705882353	0.9411764705882353	17.0
Alarmes e Sensores de Presença	1.0	1.0	1.0	2.0
Anéis de Vedação	1.0	0.6666666666666666	0.8	3.0
Aquecedores de Água	1.0	0.5	0.6666666666666666	2.0
Ar Condicionado	1.0	1.0	1.0	26.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.9411764705882353	0.8888888888888888	0.9142857142857143	18.0
Argamassas	1.0	0.6666666666666666	0.8	9.0
Armazenamento, Captação e Tratamento de Água	0.75	0.9	0.8181818181818182	10.0
Artefatos de Concreto	0.8181818181818182	0.84375	0.8307692307692308	32.0
Assentos Sanitários	1.0	1.0	1.0	4.0
Automação Industrial	0.9375	0.9375	0.9375	16.0
Aços para Construção	0.875	0.7	0.7777777777777778	10.0
Barras e tubos INOX	0.5	0.75	0.6	4.0
Barras, Tubos e Chapas Metalon	1.0	0.9090909090909091	0.9523809523809523	11.0
Barreiras de Proteção	0.8333333333333334	1.0	0.9090909090909091	5.0
Baterias	1.0	1.0	1.0	5.0
Blocos Cerâmicos	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos de Concreto	0.8421052631578947	0.8888888888888888	0.8648648648648649	18.0
Cabos Elétricos	0.9859154929577465	0.9790209790209791	0.9824561403508771	143.0
Caixas de Esgoto	0.5	0.25	0.3333333333333333	4.0
Calhas, Rufos e Algerosas	0.8	0.6666666666666666	0.7272727272727273	6.0
Canos de Concreto	0.8846153846153846	1.0	0.9387755102040817	46.0
Canos e Conexões Hidráulicas	0.9550561797752809	0.9497206703910615	0.9523809523809523	179.0
Cercados e Segurança	0.8636363636363636	0.95	0.9047619047619048	20.0
Chapa em alumínio	1.0	0.5	0.6666666666666666	4.0
Chapas e Painéis	1.0	1.0	1.0	17.0
Cimentos	0.875	0.7	0.7777777777777778	10.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	0.6666666666666666	0.8	3.0
Combate a Incêndio	1.0	1.0	1.0	2.0
Concreto	1.0	0.25	0.4	4.0
Condutos	0.5	0.5	0.5	4.0
Construção Civil	0.8846153846153846	0.8846153846153846	0.8846153846153846	26.0
Conteineres	0.8	0.8	0.8	5.0
Câmeras de Segurança e CFTV	1.0	1.0	1.0	3.0
