	precision	recall	f1-score	support
Acessibilidade	0.2857142857142857	1.0	0.4444444444444444	2.0
Acessórios Hidráulicos	0.0	0.0	0.0	5.0
Acessórios de Portas e Janelas	0.7692307692307693	0.6666666666666666	0.7142857142857143	15.0
Acessórios e Conexões Elétricas	0.8648648648648649	0.9142857142857143	0.8888888888888888	35.0
Acessórios e Consumíveis para Ferramentas	0.875	0.8235294117647058	0.8484848484848485	17.0
Acessórios para telhado	0.0	0.0	0.0	3.0
Adesivos e Colas	0.8888888888888888	0.8	0.8421052631578947	10.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	0.9444444444444444	1.0	0.9714285714285714	17.0
Alarmes e Sensores de Presença	1.0	0.5	0.6666666666666666	2.0
Anéis de Vedação	0.0	0.0	0.0	3.0
Aquecedores de Água	1.0	1.0	1.0	2.0
Ar Condicionado	1.0	1.0	1.0	26.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.9411764705882353	0.8888888888888888	0.9142857142857143	18.0
Argamassas	1.0	0.7777777777777778	0.875	9.0
Armazenamento, Captação e Tratamento de Água	0.7142857142857143	1.0	0.8333333333333334	10.0
Artefatos de Concreto	0.7368421052631579	0.875	0.8	32.0
Assentos Sanitários	1.0	1.0	1.0	4.0
Automação Industrial	1.0	0.75	0.8571428571428571	16.0
Aços para Construção	0.8888888888888888	0.8	0.8421052631578947	10.0
Barras e tubos INOX	1.0	0.25	0.4	4.0
Barras, Tubos e Chapas Metalon	0.8333333333333334	0.9090909090909091	0.8695652173913043	11.0
Barreiras de Proteção	0.8333333333333334	1.0	0.9090909090909091	5.0
Baterias	1.0	1.0	1.0	5.0
Blocos Cerâmicos	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos de Concreto	0.7083333333333334	0.9444444444444444	0.8095238095238095	18.0
Cabos Elétricos	0.910828025477707	1.0	0.9533333333333334	143.0
Caixas de Esgoto	0.5	0.25	0.3333333333333333	4.0
Calhas, Rufos e Algerosas	0.6666666666666666	0.6666666666666666	0.6666666666666666	6.0
Canos de Concreto	0.7931034482758621	1.0	0.8846153846153846	46.0
Canos e Conexões Hidráulicas	0.7723214285714286	0.9664804469273743	0.858560794044665	179.0
Cercados e Segurança	0.76	0.95	0.8444444444444444	20.0
Chapa em alumínio	1.0	0.25	0.4	4.0
Chapas e Painéis	0.85	1.0	0.918918918918919	17.0
Cimentos	0.8571428571428571	0.6	0.7058823529411765	10.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	0.3333333333333333	0.5	3.0
Combate a Incêndio	1.0	1.0	1.0	2.0
Concreto	1.0	0.25	0.4	4.0
Condutos	1.0	0.25	0.4	4.0
Construção Civil	0.7857142857142857	0.8461538461538461	0.8148148148148148	26.0
Conteineres	1.0	0.8	0.8888888888888888	5.0
