	precision	recall	f1-score	support
Acessibilidade	1.0	1.0	1.0	2.0
Acessórios Hidráulicos	1.0	0.6	0.75	5.0
Acessórios de Portas e Janelas	0.8333333333333334	0.6666666666666666	0.7407407407407407	15.0
Acessórios e Conexões Elétricas	0.9166666666666666	0.9428571428571428	0.9295774647887324	35.0
Acessórios e Consumíveis para Ferramentas	1.0	0.7647058823529411	0.8666666666666667	17.0
Acessórios para telhado	1.0	1.0	1.0	3.0
Adesivos e Colas	0.7	0.7	0.7	10.0
Adesivos e Selantes	0.0	0.0	0.0	2.0
Aduela de Concreto	1.0	1.0	1.0	17.0
Alarmes e Sensores de Presença	1.0	1.0	1.0	2.0
Anéis de Vedação	1.0	1.0	1.0	3.0
Aquecedores de Água	1.0	1.0	1.0	2.0
Ar Condicionado	0.896551724137931	1.0	0.9454545454545454	26.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.9333333333333333	0.7777777777777778	0.8484848484848485	18.0
Argamassas	1.0	0.7777777777777778	0.875	9.0
Armazenamento, Captação e Tratamento de Água	0.75	0.9	0.8181818181818182	10.0
Artefatos de Concreto	0.8108108108108109	0.9375	0.8695652173913043	32.0
Assentos Sanitários	1.0	1.0	1.0	4.0
Automação Industrial	0.9230769230769231	0.75	0.8275862068965517	16.0
Aços para Construção	0.7	0.7	0.7	10.0
Barras e tubos INOX	0.6666666666666666	0.5	0.5714285714285714	4.0
Barras, Tubos e Chapas Metalon	0.9090909090909091	0.9090909090909091	0.9090909090909091	11.0
Barreiras de Proteção	0.8333333333333334	1.0	0.9090909090909091	5.0
Baterias	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos Cerâmicos	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos de Concreto	0.9444444444444444	0.9444444444444444	0.9444444444444444	18.0
Cabos Elétricos	0.9342105263157895	0.993006993006993	0.9627118644067797	143.0
Caixas de Esgoto	0.25	0.25	0.25	4.0
Calhas, Rufos e Algerosas	1.0	0.6666666666666666	0.8	6.0
Canos de Concreto	0.92	1.0	0.9583333333333334	46.0
Canos e Conexões Hidráulicas	0.9293478260869565	0.9553072625698324	0.9421487603305785	179.0
Cercados e Segurança	0.9047619047619048	0.95	0.926829268292683	20.0
Chapa em alumínio	0.75	0.75	0.75	4.0
Chapas e Painéis	0.85	1.0	0.918918918918919	17.0
Cimentos	1.0	0.6	0.75	10.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	0.3333333333333333	0.5	3.0
Combate a Incêndio	1.0	1.0	1.0	2.0
Concreto	1.0	0.5	0.6666666666666666	4.0
Condutos	0.6	0.75	0.6666666666666666	4.0
Construção Civil	0.8695652173913043	0.7692307692307693	0.8163265306122449	26.0
Conteineres	1.0	1.0	1.0	5.0
Câmeras de Segurança e CFTV	1.0	1.0	1.0	3.0
