	precision	recall	f1-score	support
Acessibilidade	0.6666666666666666	1.0	0.8	2.0
Acessórios Hidráulicos	1.0	0.4	0.5714285714285714	5.0
Acessórios de Portas e Janelas	0.9333333333333333	0.9333333333333333	0.9333333333333333	15.0
Acessórios e Conexões Elétricas	1.0	0.9142857142857143	0.9552238805970149	35.0
Acessórios e Consumíveis para Ferramentas	0.8333333333333334	0.8823529411764706	0.8571428571428571	17.0
Adesivos e Colas	1.0	0.9166666666666666	0.9565217391304348	12.0
Aduela de Concreto	1.0	1.0	1.0	17.0
Anéis de Vedação	1.0	1.0	1.0	3.0
Aquecedores de Água	0.6666666666666666	1.0	0.8	2.0
Ar Condicionado	1.0	1.0	1.0	26.0
Areia, Pedra Brita, Gesso, Cal e Argila	0.9375	0.8333333333333334	0.8823529411764706	18.0
Argamassas	0.8888888888888888	0.8888888888888888	0.8888888888888888	9.0
Armazenamento, Captação e Tratamento de Água	0.8333333333333334	1.0	0.9090909090909091	10.0
Artefatos de Concreto	0.8648648648648649	1.0	0.927536231884058	32.0
Assentos Sanitários	1.0	1.0	1.0	4.0
Automação Industrial	0.8888888888888888	1.0	0.9411764705882353	16.0
Aços para Construção	0.7777777777777778	0.7	0.7368421052631579	10.0
Barras e tubos INOX	1.0	0.5	0.6666666666666666	4.0
Barras, Tubos e Chapas Metalon	0.8181818181818182	0.8181818181818182	0.8181818181818182	11.0
Barreiras de Proteção	1.0	1.0	1.0	5.0
Baterias	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos Cerâmicos	0.8333333333333334	1.0	0.9090909090909091	5.0
Blocos de Concreto	0.8823529411764706	0.8333333333333334	0.8571428571428571	18.0
Cabos Elétricos	0.9594594594594594	0.993006993006993	0.9759450171821306	143.0
Caixas de Esgoto	0.75	0.6	0.6666666666666666	5.0
Calhas, Rufos e Algerosas	1.0	0.75	0.8571428571428571	8.0
Canos de Concreto	0.9183673469387755	0.9782608695652174	0.9473684210526315	46.0
Canos e Conexões Hidráulicas	0.9402173913043478	0.9664804469273743	0.953168044077135	179.0
Cercados e Segurança	0.8571428571428571	0.9	0.8780487804878049	20.0
Chapa em alumínio	1.0	0.5	0.6666666666666666	4.0
Chapas e Painéis	0.9444444444444444	1.0	0.9714285714285714	17.0
Cimentos	1.0	0.8	0.8888888888888888	10.0
Cintas, Cabos, Cordas, Correntes e Acessórios	1.0	0.6666666666666666	0.8	3.0
Combate a Incêndio	1.0	1.0	1.0	3.0
Concreto	1.0	0.5	0.6666666666666666	4.0
Condutos	1.0	0.75	0.8571428571428571	4.0
Construção Civil	1.0	0.8461538461538461	0.9166666666666666	26.0
Conteineres	1.0	1.0	1.0	5.0
Câmeras de Segurança e CFTV	1.0	1.0	1.0	3.0
Disjuntores e Fusíveis	0.95	0.926829268292683	0.9382716049382716	41.0
Dutos e conexões PEAD	0.8571428571428571	1.0	0.9230769230769231	6.0
EPI: Equipamentos Proteção Individual	0.8974358974358975	0.9210526315789473	0.9090909090909091	38.0
Eletrocalhas	0.7222222222222222	1.0	0.8387096774193549	13.0
Eletrodomésticos	1.0	0.5	0.6666666666666666	2.0
Elevador Cremalheira	1.0	1.0	1.0	3.0
Equipamentos	1.0	0.75	0.8571428571428571	4.0
Equipamentos para Construção	0.3333333333333333	0.25	0.2857142857142857	4.0
Equipamentos para Gases Medicinais	1.0	1.0	1.0	3.0
Escadas Móveis	1.0	1.0	1.0	3.0
Esportes e Lazer	1.0	0.5	0.6666666666666666	2.0
Fechaduras e Travas	1.0	1.0	1.0	6.0
Ferragens para Fixar e Montar	0.9090909090909091	0.7407407407407407	0.8163265306122449	27.0
Ferramentas   para Pintura	0.9166666666666666	1.0	0.9565217391304348	11.0
Ferramentas Elétricas/Bateria	0.75	0.5	0.6	6.0
Ferramentas Manuais	0.9393939393939394	0.96875	0.9538461538461539	32.0
Ferramentas de Medição	0.8333333333333334	0.8333333333333334	0.8333333333333334	6.0
Ferramentas para Construção	0.9090909090909091	0.9090909090909091	0.9090909090909091	11.0
Ferramentas para Jardim	1.0	0.6666666666666666	0.8	9.0
Ferramentas para Solda	0.6666666666666666	1.0	0.8	2.0
Fitas	1.0	1.0	1.0	6.0
Fontes de Energia	1.0	0.9166666666666666	0.9565217391304348	12.0
Formas	1.0	0.8333333333333334	0.9090909090909091	6.0
Forros	1.0	1.0	1.0	4.0
Gesso e Drywall	1.0	1.0	1.0	8.0
Impermeabilizantes	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.0
Infraestrutura	1.0	0.6	0.75	5.0
Isolamento	1.0	1.0	1.0	2.0
